ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Camera Arbitrale di Milano S.r.l.,97425550155,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Pellezzano,80020870657,PagoPA SpA,15376371009
Comune di Pellezzano,80020870657,Maggioli SPA,06188330150
Comune di Pellezzano,80020870657,Poste Italiane S.P.A.,97103880585
Comune di Pellezzano,80020870657,A-Tono Srl,13075050156
Comune di Pellezzano,80020870657,eRemind srl – PMPAY,11311050964
AREA S.R.L.,02971560046,WAN S.r.l.,03805290040
AREA S.R.L.,02971560046,E-Fil S.r.l.,03789750100
Comune di Sperlinga,00114480866,PagoPA SpA,15376371009
Comune di Sperlinga,00114480866,Noviservice srl,02789990922
Comune di Sperlinga,00114480866,CREDEMTEL SpA,01378570350
Comune di Sperlinga,00114480866,Anci Digitale S.p.A.,15483121008
Comune di Sperlinga,00114480866,E-Fil S.r.l.,03789750100
Ente Parco Nazionale del Gargano,94031700712,Noviservice srl,02789990922
Ente Parco Nazionale del Gargano,94031700712,P.A. Digitale spa,06628860964
A.GE.S. S.R.L.,02286490962,Progetti e Soluzioni SPA,06423240727
A.S.M. CASTELLEONE S.R.L.,01121810194,P.A. Digitale spa,06628860964
Accademia di Belle Arti di Bari,80015790720,Dedagroup Public Services S.R.L.,01727860221
5T srl,06360270018,Regione Piemonte,80087670016
A.P.S.P. Suor Agnese,01025950229,Provincia Autonoma di Trento,00337460224
Agenzia Regionale per la Protezione dell'Ambiente del Friuli Venezia Giulia,02096520305,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Lucca,00378210462,PagoPA SpA,15376371009
Comune di Lucca,00378210462,Maggioli SPA,06188330150
Comune di Lucca,00378210462,Hpa Srls,02989240649
Comune di Lucca,00378210462,E-Fil S.r.l.,03789750100
Comune di Lucca,00378210462,Regione Toscana,01386030488
Comune di Modena,00221940364,PagoPA SpA,15376371009
Comune di Modena,00221940364,Lepida Spa,02770891204
Comune di Modena,00221940364,Nivi S.p.A.,04105740486
Comune di Modena,00221940364,"Unicredit, Societa' per Azioni",00348170101
Comune di Modena,00221940364,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Modena,00221940364,Hera S.p.A.,04245520376
Comune di Modena,00221940364,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Modena,00221940364,Next Step Solution,02554480349
