ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Istituto Comprensivo di San Giorgio delle Pertiche - Santa Giustina in Colle,80010880286,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di San Prisco,94018990617,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo Di Sanfront e Paesana,94033130041,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Santo Stefano di Cadore e Comelico Superiore,83003070253,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Santo Stefano di Camastra,93002950835,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Savignano Sul Rubicone Giulio Cesare,90056130405,Ministero dell'istruzione e del merito,80185250588
"Istituto Comprensivo di Scuola dell'Infanzia, Primaria e Secondaria di 1 Grado Palmieri San Giovanni Bosco",93061360710,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Scuola Elementare e Media Alta Val di Sole,92013790222,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Scuola Elementare e Media Pergine 1,96056890229,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Scuola Primaria e Secondaria di I Grado Johannes Amos Comenius di Trento,96056960220,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Scuola Primaria e Secondaria di Primo Grado Mezzocorona,96056920224,Provincia Autonoma di Trento,00337460224
"Istituto Comprensivo di Scuola Primaria e Secondaria di Primo Grado Rovereto - Sud Via Benacense, 32",85005490223,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Scuola Primaria e Secondaria di Primo Grado Trento 1,96057020222,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Scuola Primaria e Secondaria di Primo Grado Trento 3,80013170222,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Scuola Primaria e SSPG Bassa Anaunia-Tuenno,96056980228,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Sergnano Primo Levi,01223820190,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Sissa Trecasali,80012030344,ARGO SOFTWARE SRL,00838520880
Istituto Comprensivo di Sissa Trecasali,80012030344,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Somaglia,90518610150,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Strigno e Tesino,90009770224,Provincia Autonoma di Trento,00337460224
Istituto Comprensivo di Val Brembilla Giovanni XXIII,94015590162,ARGO SOFTWARE SRL,00838520880
Istituto Comprensivo di Val Brembilla Giovanni XXIII,94015590162,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Valdengo,92017990026,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Valle Mosso-Pettinengo,83002450027,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Varzi,86002760188,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Vergato e Grizzana Morandi,91201370375,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Via Acerbi,96069460184,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Via Angelini,96069510186,ARGO SOFTWARE SRL,00838520880
Istituto Comprensivo di Via Angelini,96069510186,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Via Botto,94033970180,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO DI VIA DANTE,95032790180,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO DI VIA DANTE,95032790180,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Via Palestro Abbiategrasso,90031610158,Ministero dell'istruzione e del merito,80185250588
Istituto Comprensivo di Via Scopoli,96069530184,ARGO SOFTWARE SRL,00838520880
