ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
ISTITUTO COMPRENSIVO - ALFREDO SASSI,83009880150,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ALFREDO SASSI,83009880150,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALI' TERME,97105820837,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ALI' TERME,97105820837,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALIGHIERI DANTE,81003930310,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALIGHIERI FORMIA-VENTOTENE,90028050590,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALLISTE,90018490756,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ALLISTE,90018490756,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALMENNO S.B. LUIGI ANGELINI,95118360163,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALMENNO S.S. - GIOVANNI XXIII,95118310168,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ALMENNO S.S. - GIOVANNI XXIII,95118310168,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALTOPASCIO,80003820463,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALVIGNANO CENTRO - D.D.-,91011550612,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ALZANO LOMBARDO,95118410166,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - AMANTE,90027830596,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - AMENDOLA - GUTTUSO,80426630580,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - AMMIRATO - FALCONE LECCE,93099140753,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - AMMIRATO - FALCONE LECCE,93099140753,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANACAPRI - I.C. GEMITO,90044580638,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ANACAPRI - I.C. GEMITO,90044580638,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANCONA 'AUGUSTO SCOCCHERA',93084410427,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANCONA - ANCONA NORD,80016250427,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANCONA - GRAZIE TAVERNELLE,93084540421,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANCONA - PINOCCHIO MONTESICURO,80024880421,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANCONA - QUARTIERI NUOVI,93084530422,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANDREA PALLADIO,83005220278,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANGELO RONCALLI,84003840273,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANGHIARI,82000640514,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANGUILLARA S. FRANCESCO,97201070584,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANNA COMPAGNONE,91018580901,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANOIA-MAROPATI-GIFFONE,91006700800,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO AMORE,90012220886,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ANTONIO AMORE,90012220886,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO DE CURTIS,97020470585,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO GRAMSCI,82007980277,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ANTONIO GRAMSCI,82007980277,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO GRAMSCI,97558910580,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO GRAMSCI,82011020276,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO MALFATTI,80005930575,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO ROSMINI,97198640589,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ANTONIO STOPPANI-SEREGNO,83010710156,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - APECCHIO 'SCIPIONE LAPI',82005550411,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - AQUILEIA,90020590304,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ARADEO,80010710756,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ARADEO,80010710756,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ARBE ZARA - MILANO,80124730153,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ARBORIO,94023350021,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ARBUS 'PIETRO LEO',82002260923,ARGO SOFTWARE SRL,00838520880
ISTITUTO COMPRENSIVO - ARBUS 'PIETRO LEO',82002260923,Ministero dell'istruzione e del merito,80185250588
ISTITUTO COMPRENSIVO - ARCENE - C.CONSONNI,93024390168,Ministero dell'istruzione e del merito,80185250588
