BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
Acos Energia S.p.A.,01967280064,"Corso Italia, 49",15067,amministrazione.acosenergia@pec.it,01967280064,Acos_20201202
Adrigas S.p.A.,00353660400,Via Gabriello Chiabrera 34G,47924,distribuzione@pec.adrigas.it,00353660400,adrigas_20200429
Vittoria Mercati Srl,01432090882,"Via Incardona, 101",97019,vittoriamercatisrl@postepec.net,01432090882,vmsrl
Comune di Pellezzano,80020870657,P.zza Municipio 1,84080,protocollo@pec.comune.pellezzano.sa.it,80020870657,c_g426
AREA S.R.L.,02971560046,Via Torino 10/B,12084,AREARISCOSSIONISRL@PEC.IT,02971560046,LBQ2CU6I
Comune di Sperlinga,00114480866,"Salita Municipio, 2",94010,protocollo@pec.comune.sperlinga.en.it,00114480866,c_i891
Ente Parco Nazionale del Gargano,94031700712,"Via Sant'Antonio Abate, 121",71037,protocollo@pec.parcogargano.it,94031700712,epndg
A.GE.S. S.R.L.,02286490962,via Oslavia 21,20037,ages@registerpec.it,02286490962,ages_20191120
A.S.M. CASTELLEONE S.R.L.,01121810194,Via RODIANI 16,26012,asmcastelleone@registerpec.it,01121810194,9VU26R0T
Accademia di Belle Arti di Bari,80015790720,"Via Re David, 189/c",70125,accademiabelleartiba@pec.it,80015790720,abab_072
5T srl,06360270018,"Via Bertola, 34",10122,direzione5t@legalmail.it,06360270018,5t_20181024
A.P.S.P. Suor Agnese,01025950229,"Via Fratelli Ballerin, 1",38053,apspsuoragnese@pec.it,01025950229,apspsa
Agenzia Regionale per la Protezione dell'Ambiente del Friuli Venezia Giulia,02096520305,"Via Cairoli, 14",33057,arpa@certregione.fvg.it,02096520305,arpa_fvg
Camera Arbitrale di Milano S.r.l.,97425550155,"via Meravigli, 9/b",20123,camera.arbitrale@legalmail.it,97425550155,camera_arbitrale_mi_20220117
Comune di Lucca,00378210462,"Via S. Giustina, 6",55100,comune.lucca@postacert.toscana.it,00378210462,c_e715
Comune di Modena,00221940364,Via Scudari 20,41121,comune.modena@cert.comune.modena.it,00221940364,c_f257
Ministero delle infrastrutture e dei trasporti,97532760580,Piazzale Porta Pia 1,00198,m_inf@pec.mit.gov.it,97532760580,m_inf
I.C.A. Imposte Comunali Affini Srl,02478610583,Lungotevere Della Vittoria 9,00195,INFO@PEC.ICATRIBUTI.COM,02478610583,icaic
Regione Toscana,01386030488,Piazza Duomo 10,50122,regionetoscana@postacert.toscana.it,01386030488,r_toscan
Regione Piemonte,80087670016,Piazza Piemonte 1,10127,gabinettopresidenza-giunta@cert.regione.piemonte.it,80087670016,r_piemon
Provincia Autonoma di Trento,00337460224,"Piazza Dante, 15",38122,segret.generale@pec.provincia.tn.it,00337460224,p_TN
Regione Autonoma Friuli-Venezia Giulia,80014930327,Piazza dell'Unita' d'Italia 1,34121,regione.friuliveneziagiulia@certregione.fvg.it,80014930327,r_friuve
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587,"Piazza Sallustio, 21",00187,unioncamere@cert.legalmail.it,01484460587,UICCIAA
