BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
Ente Creditore Servizi Ecologici Integrati Toscana sr,01349420529,via Simone Martini 57,53100,seitoscana@legalmail.it,01349420529,SEIToscana_20210921
Ente Creditore: Bologna Servizi Cimiteriali s.r.l.,03079781203,Via della Certosa 18,40134,bolognaservizicimiteriali@legalmail.it,03079781203,bsc_20210309
Ente di Decentramento Regionale di Gorizia,91047140313,Corso Italia 55,34170,edr.gorizia@certregione.fvg.it,91047140313,edrg
Ente di Decentramento Regionale di Pordenone,91099210931,Largo San Giorgio 12,33170,edr.pordenone@certregione.fvg.it,91099210931,edrp
Ente di Decentramento Regionale di Trieste,90161460325,Piazza Vittorio Veneto 4,34132,edr.trieste@certregione.fvg.it,90161460325,edrts
Ente di Decentramento Regionale di Udine,94150810300,Piazza Patriarcato N. 3,33100,edr.udine@certregione.fvg.it,94150810300,edru
Ente di Gestione Aree Protette del Po Torinese,06398410016,"Corso Trieste, 98",10024,parcopocollina.to@pec.it,06398410016,egappct
Ente di Gestione Dei Sacri Monti,00971620067,Cascina Valperone,15020,segreteria@pec.sacri-monti.com,00971620067,egdsm
Ente di Gestione del Parco Archeologico Storico Naturale Delle Chiese Rupestri del Materano,93030250778,"Via Sette Dolori, 10",75100,parcomurgia@cert.ruparbasilicata.it,93030250778,egpas_
Ente di Gestione Del Parco Paleontologico Astigiano,92022260050,Corso V. Alfieri n. 381,14100,PARCHI.ASTIGIANI@CERT.RUPARPIEMONTE.IT,92022260050,egdpd_
Ente di Gestione delle Aree Protette dei Parchi Reali,01699930010,"Viale Carlo Emanuele II, 256",10078,parchireali@legalmail.it,01699930010,egda_001
ENTE DI GESTIONE DELLE AREE PROTETTE DEL MONVISO,02345150045,Via Griselda 8,12037,protocollo@pec.parcomonviso.eu,02345150045,egspo_cn
Ente di gestione delle aree protette del Po Piemontese,95000120063,Via Alessandria n. 2,10090,parcopopiemontese@pec.it,95000120063,pfpo_al
Ente Di Gestione delle Aree Protette del Ticino e del Lago Maggiore,94000090038,Localita' Villa Picchetta,28062,parcoticinolagomaggiore@pec-mail.it,94000090038,egpnvdt
Ente di Gestione delle Aree Protette dell'Appennino Piemontese,01550320061,Via Umberto I n. 51,15060,areeprotetteappenninopiemontese@pec.it,01550320061,pn_cmbos
Ente di Gestione delle Aree Protette dell'Ossola,83004360034,Viale Pieri 13,28868,parchi.ossola@cert.ruparpiemonte.it,83004360034,egapo
Ente di Gestione Delle Aree Protette della Valle Sesia,91006800022,"Corso Roma, 35",13019,areeprotettevallesesia@pec-mail.it,91006800022,egdapvs
