BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
ACQUE DEL VOLTANO SOCIETÀ COOPERATIVA,02889390841,VIA MINIERA POZZO NUOVO N. 1,92021,acquedelvoltano@pec.it,02889390841,Acqvolt_20220208
Acque di Casalotto S.p.A.,00131630873,Via XXI Aprile 81,95021,acquedicasalotto@legalmail.it,00131630873,FB9OXPEK
ACQUE MANGANO S.R.L.,02444300871,VIA VISCALORI 1,95029,acquemangano@pec.it,02444300871,AQMG_20230127
Acque spa,05175700482,Via Garigliano,50053,info@pec.acque.net,05175700482,3KO8VIGW
Acque Veronesi,03567090232,Lungadige Galtarossa 8,37133,protocollo@pec.acqueveronesi.it,03567090232,avscr
Acquedotti Ing. Sarino Pavone S.p.A.,00168550879,"Via Modena, 14",95126,acquedottipavone@arubapec.it,00168550879,acqsp_20210612
Acquedotto Consortile Biviere,02641830829,Via Altofonte 62a,90046,protocollo@pec.acquedottobiviere.it,02641830829,acbpa
Acquedotto del Carso Spa - Kraski Vodovod Dd,00062810320,"Aurisina Cave, 25 C",34011,ackv@pec.it,00062810320,acskv
Acquedotto del Fiora S.p.A.,00304790538,"Via G. Mameli, 10",58100,protocollo@pec.fiora.it,00304790538,H3EOKUS0
Acquedotto della Piana S.P.A.,00099020059,"Via Carlo V, 53",14019,acquedottopiana@legalmail.it,00099020059,adpspa
Acquedotto Lucano Spa,01522200763,Via Grippo,85100,protocollo@pec.acquedottolucano.it,01522200763,alspapz
Acquedotto Pugliese S.P.A.,00347000721,"Via S. Cognetti, 36",70121,acquedotto.pugliese@pec.aqp.it,00347000721,aps_072
ACQUEDOTTO SAN LAZZARO SPA,00136200094,Via Aurelia 310,17025,sanlazzaro@pec.it,00136200094,acsls_20210909
ACQUEDOTTO VALTIGLIONE S.P.A.,00073940058,Frazione San Marzanotto 321,14100,acquedottovaltiglione@legalmail.it,00073940058,ASGI1JO7
Acquevenete SpA,00064780281,"Cristoforo Colombo, 29 A",35043,protocollo@pec.acquevenete.it,00064780281,cvsspa
ACSM Teleriscaldamento SpA,01617890221,Via Guadagnini 31,38054,acsmtlr@pec.gruppoacsm.com,01617890221,acsmtlr_20200907
ACSM Trading Srl Unipersonale,01900420223,Via Guadagnini 31,38054,acsmtrading@pec.it,01900420223,acsmtrading_20200907
