BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
Comune di Civitella Paganico,00214200537,"Via 1 Maggio, 6",58045,comune.civitellapaganico@postacert.toscana.it,00214200537,c_c782
Comune di Civitella Roveto,00216210666,Via Roma,67054,info@pec.comune.civitella-roveto.aq.it,00216210666,c_c783
Comune di Civitella San Paolo,02672190580,"Piazza S. Maria, 16",00060,comune.civitellasanpaolo@pcert.it,02672190580,c_c784
Comune di Civo,00115160145,"Frazione Serone, 65",23010,protocollo.civo@cert.provincia.so.it,00115160145,c_c785
Comune di Claino con Osteno,84002230138,"Via A. Giobbi, 4",22010,comune.clainoconosteno@pec.regione.lombardia.it,84002230138,c_c787
Comune di Claut,90001520932,"Via Antonio Giordani, 1",33080,comune.claut@certgov.fvg.it,90001520932,c_c790
Comune di Clauzetto,81001750934,"Via Giacomo Fabricio, 10",33090,comune.clauzetto@certgov.fvg.it,81001750934,c_c791
Comune di Clavesana,00510710049,Piazza Vittorio Emanuele II 7,12060,postmaster@pec.clavesana.info,00510710049,c_c792
Comune di Claviere,01651230011,"Via Nazionale, 30",10050,comuneclaviere@legalmail.it,01651230011,c_c793
Comune di Cles,00316390228,"Corso Dante, N. 28",38023,info@pec.comune.cles.tn.it,00316390228,c_c794
Comune di Cleto,86000750785,"Via Palmenta, 2",87030,amministrativa.cleto@asmepec.it,86000750785,c_c795
Comune di Clivio,00568840128,"Via Delle Sorgenti, 7",21050,comune.clivio@pec.regione.lombardia.it,00568840128,c_c796
Comune di Cloz,00311730220,"Via Di S.Stefano, 2",38020,comune@pec.comune.cloz.tn.it,00311730220,c_c797
Comune di Clusone,00245460167,"Piazza Sant'Andrea, 1",24023,protocollo@pec.comune.clusone.bg.it,00245460167,c_c800
Comune di Coassolo Torinese,01350940019,Via Capoluogo N. 198,10070,ragioneria.comune.coassolo@documentipec.com,01350940019,c_c801
Comune di Coazze,86003010013,"Via Giacomo Matteotti, 4",10050,protocollo@pec.comune.coazze.to.it,86003010013,c_c803
Comune di Coazzolo,00186130050,Piazza Vittorio Emanuele N.1,14054,protocollo@pec.comune.coazzolo.at.it,00186130050,c_c804
Comune di Coccaglio,00821390176,"Via Matteotti, 10",25030,protocollo@pec.comune.coccaglio.bs.it,00821390176,c_c806
Comune di Cocconato,80005260056,Cortile Del Collegio 3,14023,comune.cocconato.at@cert.legalmail.it,80005260056,c_c807
Comune di Cocquio Trevisago,00309210128,Via Roma 54,21034,comune.cocquiotrevisago@pec.regione.lombardia.it,00309210128,c_c810
Comune di Cocullo,00218020667,Piazza Madonna Delle Grazie,67030,comune.cocullo@pec.it,00218020667,c_c811
Comune di Codevigo,80024660286,"Via Vittorio Emanuele III, 33",35020,codevigo.pd@cert.ip-veneto.net,80024660286,c_c812
Comune di Codevilla,00409680188,"Via Umberto, 15",27050,comune.codevilla@legalpec.it,00409680188,c_c813
Comune di Codigoro,00339040388,"Piazza Matteotti, 60",44021,comune.codigoro@cert.comune.codigoro.fe.it,00339040388,c_c814
Comune di Codogne',82002570263,"Via Roma, 2",31013,info.comune.codogne.tv@pecveneto.it,82002570263,c_c815
Comune di Codogno,02031600154,"Via Vittorio Emanuele Ii, 4",26845,protocollo@pec.comune.codogno.lo.it,02031600154,c_c816
Comune di Codroipo,80006530309,Piazza G. Garibaldi 81,33033,comune.codroipo@certgov.fvg.it,80006530309,c_c817
Comune di Codrongianos,00248570905,"Via Roma, 5",07040,protocollo.codrongianos@legalmail.it,00248570905,c_c818
Comune di Coggiola,82000890028,"Via G. Garibaldi, 24",13863,coggiola@pec.ptbiellese.it,82000890028,c_c819
Comune di Cogliate,01566130157,"Via Minoretti,19",20815,comune.cogliate@legalmail.it,01566130157,C_C820
Comune di Cogne,00102860079,Rue Bourgeois N.38,11012,protocollo@pec.comune.cogne.ao.it,00102860079,c_c821
Comune di Cogoleto,80007570106,"Via Rati, 66",16016,protocollo@pec.comune.cogoleto.ge.it,80007570106,c_c823
Comune di Cogollo del Cengio,84009900246,"Piazza della Liberta', 1",36010,protocollo.comune.cogollodelcengio.vi@pecveneto.it,84009900246,c_c824
Comune di Cogorno,00412900102,"Piazza Aldo Moro, 1",16030,protocollo.comune.cogorno.ge.it@legalmail.it,00412900102,c_c826
Comune di Colazza,00433330032,"Piazza Milano, 5",28010,colazza@cert.ruparpiemonte.it,00433330032,c_c829
Comune di Colceresa,04203260247,"Via G. Marconi, 56",36064,comune.colceresa.vi@cert.ip-veneto.net,04203260247,c_m426
Comune di Colere,81002410165,"Via Tortola, 54",24020,protocollo@pec.comune.colere.bg.it,81002410165,c_c835
Comune di Colfelice,90004040607,Viale Della Repubblica,03030,protocollocolfelice@arcmediapec.it,90004040607,c_c836
Comune di Coli,00229510334,"Via Municipio, 1",29020,amministrazionecoli@pecimprese.it,00229510334,c_c838
Comune di Colico,83006690131,Piazza V Alpini,23823,colico@cert.legalmail.it,83006690131,c_c839
Comune di Collalto Sabino,00113140578,P.zza G. Marconi 1,02022,comunedicollalto@pec.it,00113140578,c_c841
Comune di Collarmele,00212670665,Piazza I Maggio 1,67040,comunedicollarmele@pec.it,00212670665,c_c844
Comune di Collazzone,00449760545,"Piazza Jacopone, 6",06050,comune.collazzone@postacert.umbria.it,00449760545,c_c845
Comune di Colle Brianza,83007970136,"Piazza Roma, 4",23886,protocollo@comune.collebrianza.legalmail.it,83007970136,c_c851
Comune di Colle d'Anchise,80007650700,"Via Campo Aperto, 18",86020,comune.colledanchisecb@legalmail.it,80007650700,c_c854
Comune di Colle di Tora,00114000573,"Via Colle Della Madonna, 1",02020,COMUNECOLLEDITORA@ARUBAPEC.IT,00114000573,c_c857
Comune di Colle di Val d'Elsa,00134520527,Via F.Campana 18,53034,comune.collevaldelsa@postecert.it,00134520527,c_c847
Comune di Colle San Magno,82005110604,Corso Garibaldi,03030,comunecollesanmagno@postecert.it,82005110604,c_c870
Comune di Colle Sannita,80001950627,"Piazza Giuseppe Flora ,9",82024,comune.collesannita@pcert.it,80001950627,c_c846
Comune di Colle Santa Lucia,00208500256,Via Villagrande 57,32020,protocollo.comune.collesantalucia.bl@pecveneto.it,00208500256,c_c872
Comune di Colle Umberto,84000770267,Via Dell' Abbazia 1,31014,protocollo.comune.colleumberto.tv@pecveneto.it,84000770267,c_c848
Comune di Collebeato,00853240174,Via San Francesco D'Assisi 1,25060,protocollo@pec.comune.collebeato.bs.it,00853240174,c_c850
Comune di Collecchio,00168090348,"Viale Liberta', 3",43044,protocollo@postacert.comune.collecchio.pr.it,00168090348,c_c852
Comune di Collecorvino,00137880688,Via Tito Acerbo N. 5,65010,protocollo.collecorvino@raccomandata.eu,00137880688,c_c853
Comune di Colledara,80004630671,Via San Paolo,64042,postacert@pec.comune.colledara.te.it,80004630671,c_c311
Comune di Colledimacine,00268080694,Via Orientale N. 29,66010,comune.colledimacine@pec.it,00268080694,c_c855
Comune di Colledimezzo,00251050696,"Piazza Vizioli, 1",66040,comunecolledimezzo@pec.it,00251050696,c_c856
Comune di Colleferro,02850240587,"Piazza Italia, 1",00034,comune.colleferro@legalmail.it,02850240587,c_c858
Comune di Collegiove,00113130579,Via Roma N. 25,02020,comune.collegiove.ri@legalmail.it,00113130579,c_c859
Comune di Collegno,00524380011,"Piazza Del Municipio,1",10093,posta@cert.comune.collegno.to.it,00524380011,c_c860
Comune di Collelongo,00190850669,Piazza Ara Dei Santi,67050,protocollo.comunedicollelongo@pec.it,00190850669,c_c862
Comune di Collepardo,00304940604,"Piazza Lazzaro Liberatori, N. 1",03010,comunedicollepardo@pec.it,00304940604,c_c864
Comune di Collepasso,81001570753,"Piazza Dante, 25",73040,protocollo.comune.collepasso@pec.rupar.puglia.it,81001570753,c_c865
Comune di Collepietro,00093010668,Via Roma N. 7,67020,comune.collepietro.aq@legalmail.it,00093010668,c_c866
Comune di Colleretto Castelnuovo,83501930016,"Via Adolfo Ghella, 13",10080,colleretto.castelnuovo@cert.ruparpiemonte.it,83501930016,c_c867
Comune di Colleretto Giacosa,01844710010,"Via Giuseppe Giacosa, 23",10010,colleretto.giacosa@cert.ruparpiemonte.it,01844710010,c_c868
Comune di Collesalvetti,00285400495,Piazza della Repubblica 32,57014,comune.collesalvetti@postacert.toscana.it,00285400495,c_c869
Comune di Collesano,82000150829,Corso Vittorio Emanuele 2,90016,protocollo.comunecollesano@pec.it,82000150829,c_c871
Comune di Colletorto,81000710707,"Largo Verdi, 9",86044,comunecolletorto@postecert.it,81000710707,c_c875
Comune di Collevecchio,00109440578,"Via Antonio Segoni, 24",02042,info@pec.comune.collevecchio.ri.it,00109440578,c_c876
