ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Comune di Capistrello,00181790668,PagoPA SpA,15376371009
Comune di Capistrello,00181790668,Maggioli SPA,06188330150
Comune di Capitignano,00164280661,PagoPA SpA,15376371009
Comune di Capitignano,00164280661,Mercurio Service spa,01413270669
Comune di Capitignano,00164280661,CREDEMTEL SpA,01378570350
Comune di Capizzi,85000200833,PagoPA SpA,15376371009
Comune di Capizzi,85000200833,E-Fil S.r.l.,03789750100
Comune di Capizzone,00505600163,San Marco SPA,04142440728
Comune di Capizzone,00505600163,PagoPA SpA,15376371009
Comune di Capizzone,00505600163,Novares Spa,12105121003
Comune di Capizzone,00505600163,CREDEMTEL SpA,01378570350
Comune di Capo D'Orlando,00356650838,UNIMATICA-RGI S.p.A.,02098391200
Comune di Capo D'Orlando,00356650838,PagoPA SpA,15376371009
Comune di Capo D'Orlando,00356650838,Maggioli SPA,06188330150
Comune di Capo D'Orlando,00356650838,Poste Italiane S.P.A.,97103880585
Comune di Capo D'Orlando,00356650838,CREDEMTEL SpA,01378570350
Comune di Capo di Ponte,81001410174,PagoPA SpA,15376371009
Comune di Capo di Ponte,81001410174,Siscom SPA,01778000040
Comune di Capo di Ponte,81001410174,Regione Lombardia,80050050154
Comune di Capo di Ponte,81001410174,Advanced Systems S.p.A.,03383350638
Comune di Capo di Ponte,81001410174,ARCA Servizi s.r.l,09106071005
Comune di Capodimonte,00215240565,PagoPA SpA,15376371009
Comune di Capodimonte,00215240565,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Capodimonte,00215240565,E-Fil S.r.l.,03789750100
Comune di Capodimonte,00215240565,APKAPPA S.R.L.,08543640158
Comune di Capodrise,80007410618,PagoPA SpA,15376371009
Comune di Capodrise,80007410618,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Capodrise,80007410618,eRemind srl – PMPAY,11311050964
Comune di Capoliveri,82002200499,PagoPA SpA,15376371009
Comune di Capoliveri,82002200499,Etruria p.a. S.r.l.,05883740481
Comune di Capoliveri,82002200499,E-Fil S.r.l.,03789750100
Comune di Capolona,00191290519,Regione Toscana,01386030488
Comune di Capolona,00191290519,PagoPA SpA,15376371009
Comune di Caponago,87003770150,PagoPA SpA,15376371009
Comune di Caponago,87003770150,Regione Lombardia,80050050154
Comune di Caponago,87003770150,SI.net Servizi Informatici S.r.L.,02743730125
Comune di Caponago,87003770150,Maggioli SPA,06188330150
Comune di Caporciano,00187590666,PagoPA SpA,15376371009
Comune di Caporciano,00187590666,Mercurio Service spa,01413270669
Comune di Caposele,00228820643,PagoPA SpA,15376371009
Comune di Caposele,00228820643,Poste Italiane S.P.A.,97103880585
Comune di Caposele,00228820643,WEMAPP SRLS,01931590762
Comune di Caposele,00228820643,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Caposele,00228820643,CREDEMTEL SpA,01378570350
Comune di Capoterra,80018070922,PagoPA SpA,15376371009
Comune di Capoterra,80018070922,Maggioli SPA,06188330150
Comune di Capoterra,80018070922,Regione Autonoma della Sardegna,80002870923
Comune di Capoterra,80018070922,Optimia Srls,10893490960
Comune di Capoterra,80018070922,APKAPPA S.R.L.,08543640158
Comune di Capovalle,00744090176,PagoPA SpA,15376371009
Comune di Capovalle,00744090176,Regione Lombardia,80050050154
Comune di Cappadocia,00193110665,PagoPA SpA,15376371009
Comune di Cappadocia,00193110665,CREDEMTEL SpA,01378570350
Comune di Cappella Cantone,00305680191,Consorzio I.T. Srl,01321400192
Comune di Cappella Cantone,00305680191,PagoPA SpA,15376371009
Comune di Cappella Cantone,00305680191,eRemind srl – PMPAY,11311050964
Comune di Cappella De' Picenardi,00312100191,PagoPA SpA,15376371009
Comune di Cappella De' Picenardi,00312100191,APKAPPA S.R.L.,08543640158
Comune di Cappella Maggiore,84000730261,PagoPA SpA,15376371009
Comune di Cappella Maggiore,84000730261,Novares Spa,12105121003
Comune di Cappella Maggiore,84000730261,P.A. Digitale spa,06628860964
Comune di Cappella Maggiore,84000730261,Regione del Veneto,80007580279
Comune di Cappelle sul Tavo,00192710689,PagoPA SpA,15376371009
Comune di Cappelle sul Tavo,00192710689,Poste Italiane S.P.A.,97103880585
Comune di Cappelle sul Tavo,00192710689,SO.G.E.T. S.P.A.,01807790686
Comune di Capracotta,00057170946,PagoPA SpA,15376371009
Comune di Capracotta,00057170946,CREDEMTEL SpA,01378570350
Comune di Capraia e Limite,00987710480,Etruria p.a. S.r.l.,05883740481
Comune di Capraia e Limite,00987710480,PagoPA SpA,15376371009
Comune di Capraia e Limite,00987710480,Novares Spa,12105121003
Comune di Capraia e Limite,00987710480,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Capraia e Limite,00987710480,Regione Toscana,01386030488
Comune di Capraia Isola,80011940493,Regione Toscana,01386030488
Comune di Capraia Isola,80011940493,PagoPA SpA,15376371009
Comune di Capralba,00323260190,PagoPA SpA,15376371009
Comune di Capralba,00323260190,Maggioli SPA,06188330150
Comune di Capranica,00217340561,PagoPA SpA,15376371009
Comune di Capranica,00217340561,MUNICIPIA S.P.A.,01973900838
Comune di Capranica,00217340561,Maggioli SPA,06188330150
Comune di Capranica,00217340561,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Capranica,00217340561,Advanced Systems S.p.A.,03383350638
Comune di Capranica,00217340561,ITALSET SRL,03890260759
Comune di Capranica Prenestina,85003030583,PagoPA SpA,15376371009
Comune di Capranica Prenestina,85003030583,ROMA CAPITALE,02438750586
Comune di Capranica Prenestina,85003030583,P.A. Digitale spa,06628860964
Comune di Capranica Prenestina,85003030583,Citta' Metropolitana di Roma Capitale,80034390585
Comune di Caprarica di Lecce,80010610758,PagoPA SpA,15376371009
Comune di Caprarica di Lecce,80010610758,Poste Italiane S.P.A.,97103880585
Comune di Caprarica di Lecce,80010610758,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Caprarica di Lecce,80010610758,Technical Design s.r.l.,00595270042
Comune di Caprarica di Lecce,80010610758,Dedagroup Public Services S.R.L.,01727860221
Comune di Caprarola,80003670561,PagoPA SpA,15376371009
Comune di Caprarola,80003670561,P.A. Digitale spa,06628860964
Comune di Caprarola,80003670561,Advanced Systems S.p.A.,03383350638
Comune di Caprauna,00495600041,Siscom SPA,01778000040
Comune di Caprauna,00495600041,PagoPA SpA,15376371009
Comune di Caprese Michelangelo,82000910511,PagoPA SpA,15376371009
Comune di Caprese Michelangelo,82000910511,CREDEMTEL SpA,01378570350
Comune di Caprezzo,00431320035,Siscom SPA,01778000040
Comune di Caprezzo,00431320035,Regione Piemonte,80087670016
Comune di Caprezzo,00431320035,PagoPA SpA,15376371009
Comune di Capri,00547330639,PagoPA SpA,15376371009
Comune di Capri,00547330639,Maggioli SPA,06188330150
Comune di Capri Leone,00461850836,PagoPA SpA,15376371009
Comune di Capri Leone,00461850836,Poste Italiane S.P.A.,97103880585
Comune di Capri Leone,00461850836,APKAPPA S.R.L.,08543640158
Comune di Capri Leone,00461850836,ASSIST SPA,10596000017
Comune di Capriana,82000550226,Provincia Autonoma di Trento,00337460224
Comune di Capriana,82000550226,PagoPA SpA,15376371009
Comune di Capriana,82000550226,E-Fil S.r.l.,03789750100
Comune di Capriana,82000550226,Argentea S.r.l.,02260390220
Comune di Capriano del Colle,00852940170,PagoPA SpA,15376371009
Comune di Capriano del Colle,00852940170,Maggioli SPA,06188330150
Comune di Capriano del Colle,00852940170,Regione Lombardia,80050050154
Comune di Capriano del Colle,00852940170,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Capriano del Colle,00852940170,APKAPPA S.R.L.,08543640158
Comune di Capriata D'Orba,00415700061,PagoPA SpA,15376371009
Comune di Capriata D'Orba,00415700061,APKAPPA S.R.L.,08543640158
Comune di Capriate San Gervasio,00325440162,PagoPA SpA,15376371009
Comune di Capriate San Gervasio,00325440162,Maggioli SPA,06188330150
Comune di Capriate San Gervasio,00325440162,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Capriate San Gervasio,00325440162,Novares Spa,12105121003
Comune di Capriate San Gervasio,00325440162,CREDEMTEL SpA,01378570350
Comune di Capriati a Volturno,82000870616,PagoPA SpA,15376371009
Comune di Capriati a Volturno,82000870616,Advanced Systems S.p.A.,03383350638
Comune di Caprie,01468480015,Siscom SPA,01778000040
Comune di Caprie,01468480015,PagoPA SpA,15376371009
Comune di Caprie,01468480015,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Capriglia Irpina,80006110649,PagoPA SpA,15376371009
Comune di Capriglia Irpina,80006110649,Regione Campania,80011990639
Comune di Capriglio,80003130053,Siscom SPA,01778000040
Comune di Capriglio,80003130053,Regione Piemonte,80087670016
Comune di Capriglio,80003130053,PagoPA SpA,15376371009
Comune di Caprile,00384930020,Siscom SPA,01778000040
Comune di Caprile,00384930020,PagoPA SpA,15376371009
Comune di Caprino Bergamasco,82003130166,PagoPA SpA,15376371009
Comune di Caprino Bergamasco,82003130166,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Caprino Bergamasco,82003130166,CREDEMTEL SpA,01378570350
Comune di Caprino Veronese,00414200238,PagoPA SpA,15376371009
Comune di Caprino Veronese,00414200238,Maggioli SPA,06188330150
Comune di Caprino Veronese,00414200238,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Caprino Veronese,00414200238,Regione del Veneto,80007580279
Comune di Caprino Veronese,00414200238,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Caprino Veronese,00414200238,Dedagroup Public Services S.R.L.,01727860221
Comune di Capriolo,00635680176,PagoPA SpA,15376371009
Comune di Capriolo,00635680176,Regione Lombardia,80050050154
Comune di Capriva del Friuli,80002280313,PagoPA SpA,15376371009
Comune di Capriva del Friuli,80002280313,Novares Spa,12105121003
Comune di Capriva del Friuli,80002280313,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Capua,00150590610,PagoPA SpA,15376371009
Comune di Capua,00150590610,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Capua,00150590610,Advanced Systems S.p.A.,03383350638
Comune di Capua,00150590610,Novares Spa,12105121003
Comune di Capurso,80015110721,PagoPA SpA,15376371009
Comune di Capurso,80015110721,Progetti e Soluzioni SPA,06423240727
Comune di Capurso,80015110721,Advanced Systems S.p.A.,03383350638
Comune di Capurso,80015110721,Regione Puglia,80017210727
Comune di Caraffa del Bianco,81001190800,PagoPA SpA,15376371009
Comune di Caraffa del Bianco,81001190800,Next Step Solution,02554480349
Comune di Caraffa del Bianco,81001190800,CREDEMTEL SpA,01378570350
