ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Comune di Torri di Quartesolo,00530900240,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Torri di Quartesolo,00530900240,Regione del Veneto,80007580279
Comune di Torri in Sabina,00110270576,PagoPA SpA,15376371009
Comune di Torri in Sabina,00110270576,Poste Italiane S.P.A.,97103880585
Comune di Torri in Sabina,00110270576,eRemind srl – PMPAY,11311050964
Comune di Torrice,00274740604,PagoPA SpA,15376371009
Comune di Torrice,00274740604,Maggioli SPA,06188330150
Comune di Torrice,00274740604,Mercurio Service spa,01413270669
Comune di Torrice,00274740604,E-Fil S.r.l.,03789750100
Comune di Torrice,00274740604,Next Step Solution,02554480349
Comune di Torricella,80008970735,PagoPA SpA,15376371009
Comune di Torricella,80008970735,Regione Puglia,80017210727
Comune di Torricella,80008970735,ITALSET SRL,03890260759
Comune di Torricella del Pizzo,00323870196,PagoPA SpA,15376371009
Comune di Torricella del Pizzo,00323870196,E-Fil S.r.l.,03789750100
Comune di Torricella in Sabina,00082310574,PagoPA SpA,15376371009
Comune di Torricella in Sabina,00082310574,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Torricella in Sabina,00082310574,CREDEMTEL SpA,01378570350
Comune di Torricella in Sabina,00082310574,ITALSET SRL,03890260759
Comune di Torricella Peligna,00219260692,PagoPA SpA,15376371009
Comune di Torricella Peligna,00219260692,Agenzia regionale dell'Abruzzo per la Committenza,91022630676
Comune di Torricella Sicura,80003050673,PagoPA SpA,15376371009
Comune di Torricella Sicura,80003050673,CREDEMTEL SpA,01378570350
Comune di Torricella Verzate,00473910180,PagoPA SpA,15376371009
Comune di Torricella Verzate,00473910180,CREDEMTEL SpA,01378570350
Comune di Torriglia,80007330105,PagoPA SpA,15376371009
Comune di Torriglia,80007330105,Regione Liguria,00849050109
Comune di Torriglia,80007330105,CREDEMTEL SpA,01378570350
Comune di Torrile,00383480340,PagoPA SpA,15376371009
Comune di Torrile,00383480340,Lepida Spa,02770891204
Comune di Torrile,00383480340,Maggioli SPA,06188330150
Comune di Torrile,00383480340,Servizi Locali SpA,03170580751
Comune di Torrioni,80007110648,PagoPA SpA,15376371009
Comune di Torrioni,80007110648,Poste Italiane S.P.A.,97103880585
Comune di Torrioni,80007110648,CREDEMTEL SpA,01378570350
Comune di Torrita di Siena,00234480523,PagoPA SpA,15376371009
Comune di Torrita di Siena,00234480523,P.A. Digitale spa,06628860964
Comune di Torrita di Siena,00234480523,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Torrita Tiberina,80210730588,PagoPA SpA,15376371009
Comune di Torrita Tiberina,80210730588,APKAPPA S.R.L.,08543640158
Comune di Tortoli,00068560911,PagoPA SpA,15376371009
Comune di Tortoli,00068560911,E-Fil S.r.l.,03789750100
Comune di Tortoli,00068560911,Maggioli SPA,06188330150
Comune di Tortona,00384600060,PagoPA SpA,15376371009
Comune di Tortona,00384600060,Maggioli SPA,06188330150
Comune di Tortona,00384600060,Progetti e Soluzioni SPA,06423240727
Comune di Tortona,00384600060,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Tortona,00384600060,Dedagroup Public Services S.R.L.,01727860221
Comune di Tortora,00407150788,PagoPA SpA,15376371009
Comune di Tortora,00407150788,Maggioli SPA,06188330150
Comune di Tortorella,84001490659,PagoPA SpA,15376371009
Comune di Tortorella,84001490659,WEMAPP SRLS,01931590762
Comune di Tortorella,84001490659,E-Fil S.r.l.,03789750100
Comune di Tortorella,84001490659,CREDEMTEL SpA,01378570350
Comune di Tortoreto,00173630674,PagoPA SpA,15376371009
Comune di Tortoreto,00173630674,Poste Italiane S.P.A.,97103880585
Comune di Tortoreto,00173630674,Advanced Systems S.p.A.,03383350638
Comune di Tortoreto,00173630674,CREDEMTEL SpA,01378570350
Comune di Tortoreto,00173630674,E-Fil S.r.l.,03789750100
Comune di Tortoreto,00173630674,Abaco Spa,02391510266
Comune di Tortorici,84004890830,PagoPA SpA,15376371009
Comune di Tortorici,84004890830,P.A. Digitale spa,06628860964
Comune di Tortorici,84004890830,Advanced Systems S.p.A.,03383350638
Comune di Torviscosa,00470990300,PagoPA SpA,15376371009
Comune di Torviscosa,00470990300,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Toscolano Maderno,00839830171,PagoPA SpA,15376371009
Comune di Toscolano Maderno,00839830171,Maggioli SPA,06188330150
Comune di Toscolano Maderno,00839830171,Regione Lombardia,80050050154
Comune di Toscolano Maderno,00839830171,Archidata srl,09613270157
Comune di Toscolano Maderno,00839830171,E-Fil S.r.l.,03789750100
Comune di Toscolano Maderno,00839830171,NORDCOM,13384100155
Comune di Toscolano Maderno,00839830171,CRESET Crediti Servizi e Tecnologie Spa,00868170143
Comune di Tossicia,80000370678,PagoPA SpA,15376371009
Comune di Tossicia,80000370678,Poste Italiane S.P.A.,97103880585
Comune di Tossicia,80000370678,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Tossicia,80000370678,Advanced Systems S.p.A.,03383350638
Comune di Tossicia,80000370678,E-Fil S.r.l.,03789750100
Comune di Tovo di Sant'Agata,00104650148,San Marco SPA,04142440728
Comune di Tovo di Sant'Agata,00104650148,PagoPA SpA,15376371009
Comune di Tovo di Sant'Agata,00104650148,Regione Lombardia,80050050154
Comune di Tovo San Giacomo,00338460090,PagoPA SpA,15376371009
Comune di Tovo San Giacomo,00338460090,Maggioli SPA,06188330150
Comune di Trabia,87000530821,PagoPA SpA,15376371009
Comune di Trabia,87000530821,E-Fil S.r.l.,03789750100
Comune di Trabia,87000530821,Sintax s.r.l.,02177970783
Comune di Tradate,00223660127,PagoPA SpA,15376371009
Comune di Tradate,00223660127,Maggioli SPA,06188330150
Comune di Tradate,00223660127,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Tradate,00223660127,SI.net Servizi Informatici S.r.L.,02743730125
Comune di Tradate,00223660127,San Marco SPA,04142440728
Comune di Tradate,00223660127,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Tramatza,00072010952,PagoPA SpA,15376371009
Comune di Tramatza,00072010952,Regione Autonoma della Sardegna,80002870923
Comune di Trambileno,00270830227,Provincia Autonoma di Trento,00337460224
Comune di Trambileno,00270830227,PagoPA SpA,15376371009
Comune di Trambileno,00270830227,APKAPPA S.R.L.,08543640158
Comune di Tramonti,80023040654,PagoPA SpA,15376371009
Comune di Tramonti,80023040654,Poste Italiane S.P.A.,97103880585
Comune di Tramonti,80023040654,Dedagroup Public Services S.R.L.,01727860221
Comune di Tramonti di Sopra,81001150937,PagoPA SpA,15376371009
Comune di Tramonti di Sopra,81001150937,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Tramonti di Sotto,81001110931,PagoPA SpA,15376371009
Comune di Tramonti di Sotto,81001110931,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Tramutola,80007370762,PagoPA SpA,15376371009
Comune di Tramutola,80007370762,Regione Basilicata,80002950766
Comune di Trana,86001770014,Siscom SPA,01778000040
Comune di Trana,86001770014,PagoPA SpA,15376371009
Comune di Trani,83000350724,Siscom SPA,01778000040
