BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
Comune di Alliste,81000570754,Piazza Municipio 5,73040,protocollo.comune.alliste@pec.rupar.puglia.it,81000570754,C_A208
Comune di Allumiere,01032140582,"Piazza Della Repubblica, 39",00051,comuneallumiere@pec.it,01032140582,c_a210
Comune di Alme',80021130168,Via G. MARCONI 12,24011,comune.alme@postemailcertificata.it,80021130168,c_a214
Comune di Almenno San Bartolomeo,00334080165,"Via 4 Novembre, 66",24030,comune@pec.comune.almennosanbartolomeo.bergamo.it,00334080165,c_a216
Comune di Almenno San Salvatore,00533860169,Piazza San Salvatore 11,24031,comunealmennoss@pec.it,00533860169,c_a217
Comune di Almese,01817670019,Piazza Martiri Della Liberta' 48,10040,comune.almese.to@cert.legalmail.it,01817670019,c_a218
Comune di Alonte,00534310248,"Piazza Santa Savina, 9",36045,protocollo.comune.alonte.vi@pecveneto.it,00534310248,c_a220
Comune di Alpago,01184740254,"Via Roma - Pieve, 31",32010,alpago.bl@cert.ip-veneto.net,01184740254,c_m375
Comune di Alpette,01673090013,Via Senta N. 22,10080,comune.alpette.to@legalmail.it,01673090013,c_a221
Comune di Alpignano,86003150017,"vle Vittoria, 14",10091,protocollo.alpignano@cert.legalmail.it,86003150017,c_a222
Comune di Alseno,00215780339,"P.zza XXV Aprile, 1",29010,comune.alseno@sintranet.legalmail.it,00215780339,c_a223
Comune di Alserio,00600170138,Via Carcano N. 9,22040,comune.alserio@halleypec.it,00600170138,c_a224
Comune di Alta Val Tidone,01749870331,"Via Roma, 28 Loc Nibbiano",29010,protocollo@pec.comunealtavaltidone.pc.it,01749870331,c_m386
Comune di Alta Valle Intelvi,03686280136,"Piazza Martino Novi, 2",22014,comune.altavalleintelvi@pec.it,03686280136,cavinte
Comune di Altamura,82002590725,"p. Municipio, 2",70022,protocollo.generale@pec.comune.altamura.ba.it,82002590725,c_a225
Comune di Altare,00328650098,"Via Restagno ,2",17041,COMUNE.ALTARE.SV@LEGALMAIL.IT,00328650098,c_a226
