ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Comune di Atzara,00162890917,Poste Italiane S.P.A.,97103880585
Comune di Atzara,00162890917,APKAPPA S.R.L.,08543640158
Comune di Auditore,00359740412,Regione Marche,80008630420
Comune di Augusta,81002050896,PagoPA SpA,15376371009
Comune di Augusta,81002050896,Poste Italiane S.P.A.,97103880585
Comune di Augusta,81002050896,Maggioli SPA,06188330150
Comune di Auletta,00557630654,PagoPA SpA,15376371009
Comune di Auletta,00557630654,Poste Italiane S.P.A.,97103880585
Comune di Auletta,00557630654,CREDEMTEL SpA,01378570350
Comune di Aulla,81003750452,PagoPA SpA,15376371009
Comune di Aulla,81003750452,Exetesis srl,01156370114
Comune di Aulla,81003750452,Open Software S.r.l.,02810000279
Comune di Aulla,81003750452,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Aulla,81003750452,APKAPPA S.R.L.,08543640158
Comune di Aurano,00475640033,Siscom SPA,01778000040
Comune di Aurano,00475640033,Regione Piemonte,80087670016
Comune di Aurano,00475640033,PagoPA SpA,15376371009
Comune di Aurigo,00249310087,PagoPA SpA,15376371009
Comune di Aurigo,00249310087,Maggioli SPA,06188330150
Comune di Auronzo di Cadore,83000710257,PagoPA SpA,15376371009
Comune di Auronzo di Cadore,83000710257,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Auronzo di Cadore,83000710257,Maggioli SPA,06188330150
Comune di Auronzo di Cadore,83000710257,Regione del Veneto,80007580279
Comune di Ausonia,81002590602,PagoPA SpA,15376371009
Comune di Ausonia,81002590602,CREDEMTEL SpA,01378570350
Comune di Austis,00180590911,PagoPA SpA,15376371009
Comune di Austis,00180590911,E-Fil S.r.l.,03789750100
Comune di Austis,00180590911,Maggioli SPA,06188330150
Comune di Avegno,00888570108,Optimia Srls,10893490960
Comune di Avegno,00888570108,PagoPA SpA,15376371009
Comune di Avegno,00888570108,CREDEMTEL SpA,01378570350
Comune di Avegno,00888570108,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Avelengo - Gemeinde Hafling,82003050216,PagoPA SpA,15376371009
Comune di Avelengo - Gemeinde Hafling,82003050216,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Avelengo - Gemeinde Hafling,82003050216,Alto Adige Riscossioni Spa,02805390214
Comune di Avella,00248800641,PagoPA SpA,15376371009
