ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Comune di Filandari,00346710791,ARCA Servizi s.r.l,09106071005
Comune di Filattiera,00145650453,Regione Toscana,01386030488
Comune di Filattiera,00145650453,PagoPA SpA,15376371009
Comune di Filattiera,00145650453,APKAPPA S.R.L.,08543640158
Comune di Filattiera,00145650453,Open Software S.r.l.,02810000279
Comune di Filettino,00291470607,PagoPA SpA,15376371009
Comune di Filettino,00291470607,P.A. Digitale spa,06628860964
Comune di Filettino,00291470607,APKAPPA S.R.L.,08543640158
Comune di Filetto,80000470692,PagoPA SpA,15376371009
Comune di Filetto,80000470692,SO.G.E.T. S.P.A.,01807790686
Comune di Filetto,80000470692,Agenzia regionale dell'Abruzzo per la Committenza,91022630676
Comune di Filetto,80000470692,CREDEMTEL SpA,01378570350
Comune di Filiano,80004190767,PagoPA SpA,15376371009
Comune di Filiano,80004190767,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Filiano,80004190767,Regione Basilicata,80002950766
Comune di Filiano,80004190767,CREDEMTEL SpA,01378570350
Comune di Filiano,80004190767,ASSIST SPA,10596000017
Comune di Filiano,80004190767,Dedagroup Public Services S.R.L.,01727860221
Comune di Filighera,00339070187,PagoPA SpA,15376371009
Comune di Filighera,00339070187,CREDEMTEL SpA,01378570350
Comune di Filighera,00339070187,Advanced Systems S.p.A.,03383350638
Comune di Filighera,00339070187,ITALSET SRL,03890260759
Comune di Filignano,00062380944,PagoPA SpA,15376371009
Comune di Filignano,00062380944,Poste Italiane S.P.A.,97103880585
Comune di Filignano,00062380944,Maggioli SPA,06188330150
Comune di Filottrano,80005330420,PagoPA SpA,15376371009
Comune di Filottrano,80005330420,Maggioli SPA,06188330150
Comune di Filottrano,80005330420,Regione Marche,80008630420
Comune di Filottrano,80005330420,E-Fil S.r.l.,03789750100
Comune di Filottrano,80005330420,ANDREANI TRIBUTI srl,01412920439
Comune di Finale Emilia,00226970366,PagoPA SpA,15376371009
Comune di Finale Emilia,00226970366,Next Step Solution,02554480349
Comune di Finale Emilia,00226970366,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Finale Ligure,00318330099,PagoPA SpA,15376371009
Comune di Finale Ligure,00318330099,Maggioli SPA,06188330150
Comune di Finale Ligure,00318330099,Advanced Systems S.p.A.,03383350638
Comune di Finale Ligure,00318330099,E-Fil S.r.l.,03789750100
Comune di Finale Ligure,00318330099,Regione Liguria,00849050109
Comune di Fino del Monte,00338730161,Siscom SPA,01778000040
Comune di Fino del Monte,00338730161,Poste Italiane S.P.A.,97103880585
Comune di Fino del Monte,00338730161,PagoPA SpA,15376371009
Comune di Fino Mornasco,00308110139,PagoPA SpA,15376371009
Comune di Fino Mornasco,00308110139,Regione Lombardia,80050050154
Comune di Fino Mornasco,00308110139,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Fino Mornasco,00308110139,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Fiorano Al Serio,00309870160,PagoPA SpA,15376371009
Comune di Fiorano Al Serio,00309870160,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Fiorano Al Serio,00309870160,Maggioli SPA,06188330150
Comune di Fiorano Al Serio,00309870160,Advanced Systems S.p.A.,03383350638
Comune di Fiorano Al Serio,00309870160,APKAPPA S.R.L.,08543640158
Comune di Fiorano Canavese,01763890017,Regione Piemonte,80087670016
Comune di Fiorano Canavese,01763890017,PagoPA SpA,15376371009
Comune di Fiorano Modenese,84001590367,PagoPA SpA,15376371009
Comune di Fiorano Modenese,84001590367,Lepida Spa,02770891204
Comune di Fiorano Modenese,84001590367,Next Step Solution,02554480349
Comune di Fiorano Modenese,84001590367,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Fiorenzuola D'Arda,00115070336,PagoPA SpA,15376371009
Comune di Fiorenzuola D'Arda,00115070336,Lepida Spa,02770891204
Comune di Fiorenzuola D'Arda,00115070336,E-Fil S.r.l.,03789750100
Comune di Fiorenzuola D'Arda,00115070336,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Firenze,01307110484,Regione Toscana,01386030488
Comune di Firenze,01307110484,PagoPA SpA,15376371009
Comune di Firenze,01307110484,SILFI Spa,06625660482
Comune di Firenzuola,01175240488,PagoPA SpA,15376371009
Comune di Firenzuola,01175240488,SILFI Spa,06625660482
Comune di Firenzuola,01175240488,Maggioli SPA,06188330150
Comune di Firenzuola,01175240488,CREDEMTEL SpA,01378570350
Comune di Firmo,83001150784,PagoPA SpA,15376371009
Comune di Firmo,83001150784,Maggioli SPA,06188330150
Comune di Fiscaglia,01912970389,PagoPA SpA,15376371009
Comune di Fiscaglia,01912970389,Lepida Spa,02770891204
Comune di Fiscaglia,01912970389,MegASP S.r.l.,09898030151
Comune di Fiscaglia,01912970389,E-Fil S.r.l.,03789750100
Comune di Fiscaglia,01912970389,Abaco Spa,02391510266
Comune di Fisciano,00267790657,PagoPA SpA,15376371009
Comune di Fisciano,00267790657,Poste Italiane S.P.A.,97103880585
Comune di Fiuggi,00127790608,PagoPA SpA,15376371009
Comune di Fiuggi,00127790608,E-Fil S.r.l.,03789750100
Comune di Fiuggi,00127790608,Advanced Systems S.p.A.,03383350638
Comune di Fiumalbo,83000910360,PagoPA SpA,15376371009
Comune di Fiumalbo,83000910360,Lepida Spa,02770891204
Comune di Fiumalbo,83000910360,E-Fil S.r.l.,03789750100
Comune di Fiumara,80003310804,PagoPA SpA,15376371009
Comune di Fiumara,80003310804,Noviservice srl,02789990922
Comune di Fiumara,80003310804,ARCA Servizi s.r.l,09106071005
Comune di Fiume Veneto,00194940938,PagoPA SpA,15376371009
Comune di Fiume Veneto,00194940938,E-Fil S.r.l.,03789750100
Comune di Fiume Veneto,00194940938,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Fiumedinisi,00352170831,PagoPA SpA,15376371009
Comune di Fiumedinisi,00352170831,Poste Italiane S.P.A.,97103880585
Comune di Fiumedinisi,00352170831,CREDEMTEL SpA,01378570350
Comune di Fiumedinisi,00352170831,ASSIST SPA,10596000017
Comune di Fiumedinisi,00352170831,eRemind srl – PMPAY,11311050964
Comune di Fiumedinisi,00352170831,ARCA Servizi s.r.l,09106071005
Comune di Fiumefreddo Bruzio,86001150787,PagoPA SpA,15376371009
Comune di Fiumefreddo Bruzio,86001150787,Maggioli SPA,06188330150
Comune di Fiumefreddo di Sicilia,00571490879,UNIMATICA-RGI S.p.A.,02098391200
Comune di Fiumefreddo di Sicilia,00571490879,PagoPA SpA,15376371009
Comune di Fiumicello Villa Vicentina,02916640309,PagoPA SpA,15376371009
Comune di Fiumicello Villa Vicentina,02916640309,Maggioli SPA,06188330150
Comune di Fiumicello Villa Vicentina,02916640309,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Fiumicino,97086740582,PagoPA SpA,15376371009
Comune di Fiumicino,97086740582,ROMA CAPITALE,02438750586
Comune di Fiumicino,97086740582,P.A. Digitale spa,06628860964
Comune di Fiumicino,97086740582,Maggioli SPA,06188330150
Comune di Fiuminata,00266030436,PagoPA SpA,15376371009
Comune di Fiuminata,00266030436,Regione Marche,80008630420
Comune di Fiuminata,00266030436,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Fivizzano,00087770459,PagoPA SpA,15376371009
Comune di Fivizzano,00087770459,CREDEMTEL SpA,01378570350
Comune di Fivizzano,00087770459,Advanced Systems S.p.A.,03383350638
Comune di Fivizzano,00087770459,Open Software S.r.l.,02810000279
Comune di Fivizzano,00087770459,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Flaibano,80006150306,PagoPA SpA,15376371009
Comune di Flaibano,80006150306,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Flero,00869010173,PagoPA SpA,15376371009
Comune di Flero,00869010173,Regione Lombardia,80050050154
Comune di Flero,00869010173,Maggioli SPA,06188330150
Comune di Floresta,01582160832,PagoPA SpA,15376371009
Comune di Floresta,01582160832,Poste Italiane S.P.A.,97103880585
Comune di Floresta,01582160832,APKAPPA S.R.L.,08543640158
Comune di Floridia,80000870891,PagoPA SpA,15376371009
Comune di Floridia,80000870891,Poste Italiane S.P.A.,97103880585
Comune di Floridia,80000870891,P.A. Digitale spa,06628860964
Comune di Floridia,80000870891,MIT SERVIZI SRL,04225880279
Comune di Florinas,00283250900,PagoPA SpA,15376371009
Comune di Florinas,00283250900,Poste Italiane S.P.A.,97103880585
Comune di Flumeri,81000510644,PagoPA SpA,15376371009
Comune di Flumeri,81000510644,CREDEMTEL SpA,01378570350
