ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
"Camera di Commercio, Industria, Artigianato e Agricoltura di Agrigento",80000150849,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Alessandria",80003000066,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Ancona",80002890426,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Arezzo",80001990516,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Ascoli Piceno",00253810444,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Asti",00155120058,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Avellino",80001290644,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Bari",80000350720,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Benevento",00086690625,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Bergamo",80005290160,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Bologna",80013970373,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Bolzano",80000670218,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Brescia",80013870177,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Brindisi",00187930748,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di commercio, industria, artigianato e agricoltura di Brindisi-Taranto",03345590735,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Cagliari",80000770927,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Caltanissetta",80000490856,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Caserta",80004270619,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Catania",80000090870,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Catanzaro",80002510792,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Chieti",80000530693,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Como",80000050130,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Cosenza",80001370784,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Cremona",80000730194,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Crotone",91008680794,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Cuneo",80000110041,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Enna",80000490864,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Fermo",01979820444,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Ferrara",00292740388,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Firenze",80002690487,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Foggia",80002570713,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Forli' - Cesena",80000750408,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
"Camera di Commercio, Industria, Artigianato e Agricoltura di Frosinone",80000230609,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
