ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Comune di Montechiaro d'Acqui,00444150064,Regione Piemonte,80087670016
Comune di Montechiaro d'Acqui,00444150064,PagoPA SpA,15376371009
Comune di Montechiaro D'Asti,80003690056,Siscom SPA,01778000040
Comune di Montechiaro D'Asti,80003690056,PagoPA SpA,15376371009
Comune di Montechiarugolo,92170530346,PagoPA SpA,15376371009
Comune di Montechiarugolo,92170530346,Lepida Spa,02770891204
Comune di Montechiarugolo,92170530346,Next Step Solution,02554480349
Comune di Monteciccardo,92033310415,Regione Marche,80008630420
Comune di Montecilfone,82004010706,PagoPA SpA,15376371009
Comune di Montecilfone,82004010706,CREDEMTEL SpA,01378570350
Comune di Montecopiolo,80004090413,PagoPA SpA,15376371009
Comune di Montecopiolo,80004090413,Abaco Spa,02391510266
Comune di Montecopiolo,80004090413,Regione Marche,80008630420
Comune di Montecorice,81000590653,PagoPA SpA,15376371009
Comune di Montecorice,81000590653,Poste Italiane S.P.A.,97103880585
Comune di Montecorice,81000590653,Noviservice srl,02789990922
Comune di Montecorice,81000590653,Sintax s.r.l.,02177970783
Comune di Montecorvino Pugliano,00555180652,PagoPA SpA,15376371009
Comune di Montecorvino Pugliano,00555180652,Poste Italiane S.P.A.,97103880585
Comune di Montecorvino Pugliano,00555180652,APKAPPA S.R.L.,08543640158
Comune di Montecorvino Rovella,00554740654,PagoPA SpA,15376371009
Comune di Montecorvino Rovella,00554740654,SO.G.E.T. S.P.A.,01807790686
Comune di Montecorvino Rovella,00554740654,Maggioli SPA,06188330150
Comune di Montecorvino Rovella,00554740654,Advanced Systems S.p.A.,03383350638
Comune di Montecosaro,80003910439,PagoPA SpA,15376371009
Comune di Montecosaro,80003910439,Poste Italiane S.P.A.,97103880585
Comune di Montecosaro,80003910439,Regione Marche,80008630420
Comune di Montecosaro,80003910439,ANDREANI TRIBUTI srl,01412920439
Comune di Montecrestese,00438300030,Siscom SPA,01778000040
Comune di Montecrestese,00438300030,PagoPA SpA,15376371009
Comune di Montecrestese,00438300030,Technical Design s.r.l.,00595270042
Comune di Montecrestese,00438300030,CREDEMTEL SpA,01378570350
Comune di Montecreto,83000490363,PagoPA SpA,15376371009
Comune di Montecreto,83000490363,Lepida Spa,02770891204
Comune di Montecreto,83000490363,E-Fil S.r.l.,03789750100
Comune di Montedinove,00360220446,PagoPA SpA,15376371009
Comune di Montedinove,00360220446,Regione Marche,80008630420
Comune di Montedoro,80002970855,PagoPA SpA,15376371009
Comune di Montefalcione,92025410645,PagoPA SpA,15376371009
Comune di Montefalco,82001610540,PagoPA SpA,15376371009
Comune di Montefalco,82001610540,CREDEMTEL SpA,01378570350
Comune di Montefalcone Appennino,00357180447,PagoPA SpA,15376371009
Comune di Montefalcone Appennino,00357180447,Poste Italiane S.P.A.,97103880585
Comune di Montefalcone Appennino,00357180447,Regione Marche,80008630420
Comune di Montefalcone di Val Fortore,00254570625,PagoPA SpA,15376371009
Comune di Montefalcone di Val Fortore,00254570625,CREDEMTEL SpA,01378570350
Comune di Montefalcone nel Sannio,00170280705,PagoPA SpA,15376371009
Comune di Montefalcone nel Sannio,00170280705,Poste Italiane S.P.A.,97103880585
Comune di Montefalcone nel Sannio,00170280705,CREDEMTEL SpA,01378570350
Comune di Montefano,00137890430,PagoPA SpA,15376371009
Comune di Montefano,00137890430,Regione Marche,80008630420
Comune di Montefano,00137890430,Maggioli SPA,06188330150
Comune di Montefelcino,00360630412,PagoPA SpA,15376371009
Comune di Montefelcino,00360630412,Abaco Spa,02391510266
Comune di Montefelcino,00360630412,Regione Marche,80008630420
Comune di Monteferrante,81001690692,PagoPA SpA,15376371009
Comune di Monteferrante,81001690692,Advanced Systems S.p.A.,03383350638
Comune di Montefiascone,00088870563,PagoPA SpA,15376371009
Comune di Montefiascone,00088870563,Maggioli SPA,06188330150
Comune di Montefiascone,00088870563,Advanced Systems S.p.A.,03383350638
Comune di Montefiascone,00088870563,CREDEMTEL SpA,01378570350
Comune di Montefiascone,00088870563,ANDREANI TRIBUTI srl,01412920439
Comune di Montefino,81000330670,PagoPA SpA,15376371009
Comune di Montefino,81000330670,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montefino,81000330670,CREDEMTEL SpA,01378570350
Comune di Montefiore Conca,82005750409,PagoPA SpA,15376371009
Comune di Montefiore Conca,82005750409,Lepida Spa,02770891204
Comune di Montefiore Conca,82005750409,Advanced Systems S.p.A.,03383350638
Comune di Montefiore Conca,82005750409,Sintax s.r.l.,02177970783
Comune di Montefiore dell'Aso,00291360444,PagoPA SpA,15376371009
Comune di Montefiore dell'Aso,00291360444,Maggioli SPA,06188330150
Comune di Montefiore dell'Aso,00291360444,Poste Italiane S.P.A.,97103880585
Comune di Montefiore dell'Aso,00291360444,Regione Marche,80008630420
Comune di Montefiore dell'Aso,00291360444,eRemind srl – PMPAY,11311050964
Comune di Montefiorino,00495090367,PagoPA SpA,15376371009
Comune di Montefiorino,00495090367,Lepida Spa,02770891204
Comune di Montefiorino,00495090367,Next Step Solution,02554480349
Comune di Monteflavio,86001870582,PagoPA SpA,15376371009
Comune di Monteflavio,86001870582,ROMA CAPITALE,02438750586
Comune di Monteflavio,86001870582,CREDEMTEL SpA,01378570350
Comune di Monteflavio,86001870582,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Monteforte Cilento,84000750657,PagoPA SpA,15376371009
Comune di Monteforte Cilento,84000750657,NORDCOM,13384100155
Comune di Monteforte Cilento,84000750657,Maggioli SPA,06188330150
Comune di Monteforte D'Alpone,00278010236,PagoPA SpA,15376371009
Comune di Monteforte D'Alpone,00278010236,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Monteforte D'Alpone,00278010236,Novares Spa,12105121003
Comune di Monteforte D'Alpone,00278010236,E-Fil S.r.l.,03789750100
Comune di Monteforte D'Alpone,00278010236,Regione del Veneto,80007580279
Comune di Monteforte D'Alpone,00278010236,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Monteforte D'Alpone,00278010236,Abaco Spa,02391510266
Comune di Monteforte Irpino,00238090641,PagoPA SpA,15376371009
Comune di Monteforte Irpino,00238090641,CREDEMTEL SpA,01378570350
Comune di Monteforte Irpino,00238090641,eRemind srl – PMPAY,11311050964
Comune di Monteforte Irpino,00238090641,Advanced Systems S.p.A.,03383350638
Comune di Montefortino,00400660445,PagoPA SpA,15376371009
Comune di Montefortino,00400660445,Regione Marche,80008630420
Comune di Montefortino,00400660445,Maggioli SPA,06188330150
Comune di Montefranco,00092290550,PagoPA SpA,15376371009
Comune di Montefranco,00092290550,Noviservice srl,02789990922
Comune di Montefranco,00092290550,Maggioli SPA,06188330150
Comune di Montefredane,80009310642,Publisys SPA,00975860768
Comune di Montefredane,80009310642,PagoPA SpA,15376371009
Comune di Montefredane,80009310642,Dedagroup Public Services S.R.L.,01727860221
Comune di Montefredane,80009310642,Regione Campania,80011990639
Comune di Montefusco,80004190643,PagoPA SpA,15376371009
Comune di Montefusco,80004190643,Dedagroup Public Services S.R.L.,01727860221
Comune di Montefusco,80004190643,Advanced Systems S.p.A.,03383350638
Comune di Montegabbione,81001530559,Regione Umbria,80000130544
Comune di Montegabbione,81001530559,PagoPA SpA,15376371009
Comune di Montegabbione,81001530559,P.A. Digitale spa,06628860964
Comune di Montegalda,00545030249,PagoPA SpA,15376371009
Comune di Montegalda,00545030249,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montegalda,00545030249,Regione del Veneto,80007580279
Comune di Montegalda,00545030249,Open Software S.r.l.,02810000279
Comune di Montegaldella,00546830241,PagoPA SpA,15376371009
Comune di Montegaldella,00546830241,Regione del Veneto,80007580279
Comune di Montegallo,00357070440,PagoPA SpA,15376371009
Comune di Montegallo,00357070440,Regione Marche,80008630420
Comune di Montegioco,00460500069,PagoPA SpA,15376371009
Comune di Montegioco,00460500069,APKAPPA S.R.L.,08543640158
Comune di Montegiordano,81000570788,Siscom SPA,01778000040
Comune di Montegiordano,81000570788,PagoPA SpA,15376371009
Comune di Montegiordano,81000570788,Advanced Systems S.p.A.,03383350638
Comune di Montegiorgio,81002030443,PagoPA SpA,15376371009
Comune di Montegiorgio,81002030443,Regione Marche,80008630420
Comune di Montegiorgio,81002030443,eRemind srl – PMPAY,11311050964
Comune di Montegiorgio,81002030443,E-Fil S.r.l.,03789750100
Comune di Montegranaro,00218260446,PagoPA SpA,15376371009
Comune di Montegranaro,00218260446,Novares Spa,12105121003
Comune di Montegranaro,00218260446,Regione Marche,80008630420
Comune di Montegranaro,00218260446,eRemind srl – PMPAY,11311050964
Comune di Montegranaro,00218260446,E-Fil S.r.l.,03789750100
Comune di Montegranaro,00218260446,ITALSET SRL,03890260759
Comune di Montegranaro,00218260446,San Marco SPA,04142440728
Comune di Montegridolfo,00613010404,PagoPA SpA,15376371009
Comune di Montegridolfo,00613010404,Lepida Spa,02770891204
Comune di Montegridolfo,00613010404,CREDEMTEL SpA,01378570350
Comune di Montegrino Valtravaglia,00225500123,PagoPA SpA,15376371009
Comune di Montegrino Valtravaglia,00225500123,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Montegrino Valtravaglia,00225500123,Regione Lombardia,80050050154
Comune di Montegrino Valtravaglia,00225500123,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montegrino Valtravaglia,00225500123,San Marco SPA,04142440728
Comune di Montegrosso d'Asti,82000150050,Siscom SPA,01778000040
Comune di Montegrosso d'Asti,82000150050,PagoPA SpA,15376371009
Comune di Montegrosso Pian Latte,00246350086,PagoPA SpA,15376371009
Comune di Montegrosso Pian Latte,00246350086,Poste Italiane S.P.A.,97103880585
Comune di Montegrosso Pian Latte,00246350086,Regione Liguria,00849050109
Comune di Montegrotto Terme,80009590284,PagoPA SpA,15376371009
Comune di Montegrotto Terme,80009590284,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montegrotto Terme,80009590284,CREDEMTEL SpA,01378570350
Comune di Montegrotto Terme,80009590284,Regione del Veneto,80007580279
Comune di Montegrotto Terme,80009590284,Abaco Spa,02391510266
Comune di Monteiasi,80010770735,PagoPA SpA,15376371009
Comune di Monteiasi,80010770735,Regione Puglia,80017210727
Comune di Montelabbate,00358330413,PagoPA SpA,15376371009
Comune di Montelabbate,00358330413,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montelabbate,00358330413,Advanced Systems S.p.A.,03383350638
Comune di Montelabbate,00358330413,"Unicredit, Societa' per Azioni",00348170101
Comune di Montelabbate,00358330413,Dedagroup Public Services S.R.L.,01727860221
Comune di Montelanico,01165490580,PagoPA SpA,15376371009
Comune di Montelanico,01165490580,ROMA CAPITALE,02438750586
Comune di Montelapiano,81002650695,PagoPA SpA,15376371009
Comune di Montelapiano,81002650695,CREDEMTEL SpA,01378570350
Comune di Montelapiano,81002650695,Advanced Systems S.p.A.,03383350638
Comune di Monteleone d'Orvieto,81001390558,Regione Umbria,80000130544
Comune di Monteleone d'Orvieto,81001390558,PagoPA SpA,15376371009
Comune di Monteleone d'Orvieto,81001390558,P.A. Digitale spa,06628860964
Comune di Monteleone di Fermo,81001850445,PagoPA SpA,15376371009
Comune di Monteleone di Fermo,81001850445,Regione Marche,80008630420
Comune di Monteleone di Fermo,81001850445,CREDEMTEL SpA,01378570350
Comune di Monteleone di Puglia,94012430719,PagoPA SpA,15376371009
Comune di Monteleone di Puglia,94012430719,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Monteleone di Puglia,94012430719,CREDEMTEL SpA,01378570350
Comune di Monteleone di Spoleto,84002570541,Regione Umbria,80000130544
Comune di Monteleone di Spoleto,84002570541,PagoPA SpA,15376371009
Comune di Monteleone di Spoleto,84002570541,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Monteleone Rocca Doria,00222250904,PagoPA SpA,15376371009
Comune di Monteleone Rocca Doria,00222250904,Regione Autonoma della Sardegna,80002870923
Comune di Monteleone Sabino,00113390579,PagoPA SpA,15376371009
Comune di Monteleone Sabino,00113390579,Poste Italiane S.P.A.,97103880585
Comune di Monteleone Sabino,00113390579,CREDEMTEL SpA,01378570350
Comune di Montelepre,00533320826,PagoPA SpA,15376371009
Comune di Montelepre,00533320826,Maggioli SPA,06188330150
Comune di Montelibretti,02457650584,PagoPA SpA,15376371009
Comune di Montelibretti,02457650584,ROMA CAPITALE,02438750586
Comune di Montelibretti,02457650584,Advanced Systems S.p.A.,03383350638
Comune di Montelibretti,02457650584,CREDEMTEL SpA,01378570350
Comune di Montella,00235250644,PagoPA SpA,15376371009
Comune di Montella,00235250644,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montella,00235250644,CREDEMTEL SpA,01378570350
Comune di Montella,00235250644,Open Software S.r.l.,02810000279
Comune di Montella,00235250644,ANCITEL,07196850585
Comune di Montello,95001650167,PagoPA SpA,15376371009
Comune di Montello,95001650167,Intesa Sanpaolo SPA,00799960158
Comune di Montello,95001650167,CREDEMTEL SpA,01378570350
Comune di Montello,95001650167,Open Software S.r.l.,02810000279
Comune di Montelongo,00070360706,PagoPA SpA,15376371009
Comune di Montelongo,00070360706,P.A. Digitale spa,06628860964
Comune di Montelparo,81000670448,PagoPA SpA,15376371009
Comune di Montelparo,81000670448,Regione Marche,80008630420
Comune di Montelparo,81000670448,CREDEMTEL SpA,01378570350
Comune di Montelupo Albese,81000830042,Siscom SPA,01778000040
Comune di Montelupo Albese,81000830042,PagoPA SpA,15376371009
Comune di Montelupo Fiorentino,00614510485,PagoPA SpA,15376371009
Comune di Montelupo Fiorentino,00614510485,Maggioli SPA,06188330150
Comune di Montelupo Fiorentino,00614510485,Novares Spa,12105121003
Comune di Montelupo Fiorentino,00614510485,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Montelupo Fiorentino,00614510485,Regione Toscana,01386030488
Comune di Montelupo Fiorentino,00614510485,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Montelupone,00132110438,PagoPA SpA,15376371009
Comune di Montelupone,00132110438,Regione Marche,80008630420
Comune di Montelupone,00132110438,eRemind srl – PMPAY,11311050964
Comune di Montelupone,00132110438,E-Fil S.r.l.,03789750100
Comune di Montelupone,00132110438,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Montemaggiore Belsito,96004190821,PagoPA SpA,15376371009
Comune di Montemaggiore Belsito,96004190821,Maggioli SPA,06188330150
Comune di Montemagno,80003710052,Siscom SPA,01778000040
Comune di Montemagno,80003710052,PagoPA SpA,15376371009
Comune di Montemale di Cuneo,80004730042,PagoPA SpA,15376371009
Comune di Montemarano,80010870642,PagoPA SpA,15376371009
Comune di Montemarano,80010870642,Noviservice srl,02789990922
Comune di Montemarano,80010870642,ANCITEL,07196850585
Comune di Montemarciano,00161090428,PagoPA SpA,15376371009
Comune di Montemarciano,00161090428,Regione Marche,80008630420
Comune di Montemarciano,00161090428,Maggioli SPA,06188330150
Comune di Montemarzino,00460510068,PagoPA SpA,15376371009
Comune di Montemarzino,00460510068,APKAPPA S.R.L.,08543640158
Comune di Montemesola,80010090738,PagoPA SpA,15376371009
Comune di Montemesola,80010090738,Poste Italiane S.P.A.,97103880585
Comune di Montemesola,80010090738,Regione Puglia,80017210727
Comune di Montemezzo,00711160135,PagoPA SpA,15376371009
Comune di Montemezzo,00711160135,Regione Lombardia,80050050154
Comune di Montemezzo,00711160135,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Montemignaio,00268100518,Regione Toscana,01386030488
Comune di Montemignaio,00268100518,PagoPA SpA,15376371009
Comune di Montemignaio,00268100518,Abaco Spa,02391510266
Comune di Montemiletto,80003770643,PagoPA SpA,15376371009
Comune di Montemiletto,80003770643,CREDEMTEL SpA,01378570350
Comune di Montemiletto,80003770643,Sintax s.r.l.,02177970783
Comune di Montemilone,00207470766,PagoPA SpA,15376371009
Comune di Montemilone,00207470766,CREDEMTEL SpA,01378570350
Comune di Montemitro,00192880706,PagoPA SpA,15376371009
Comune di Montemitro,00192880706,APKAPPA S.R.L.,08543640158
Comune di Montemonaco,00357080449,PagoPA SpA,15376371009
Comune di Montemonaco,00357080449,Regione Marche,80008630420
Comune di Montemurlo,00584640486,Regione Toscana,01386030488
Comune di Montemurlo,00584640486,PagoPA SpA,15376371009
Comune di Montemurlo,00584640486,KOINE' SRL,01934790971
Comune di Montemurlo,00584640486,Etruria p.a. S.r.l.,05883740481
Comune di Montemurro,81000050765,PagoPA SpA,15376371009
Comune di Montemurro,81000050765,Dedagroup Public Services S.R.L.,01727860221
Comune di Montemurro,81000050765,Regione Basilicata,80002950766
Comune di Montenars,01322440304,PagoPA SpA,15376371009
Comune di Montenars,01322440304,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Montenero di Bisaccia,82004330708,PagoPA SpA,15376371009
Comune di Montenero di Bisaccia,82004330708,Poste Italiane S.P.A.,97103880585
Comune di Montenero di Bisaccia,82004330708,ANDREANI TRIBUTI srl,01412920439
Comune di Montenero di Bisaccia,82004330708,Intesa Sanpaolo SPA,00799960158
Comune di Montenero di Bisaccia,82004330708,APKAPPA S.R.L.,08543640158
Comune di Montenero Sabino,00121390579,PagoPA SpA,15376371009
Comune di Montenero Sabino,00121390579,Intesa Sanpaolo SPA,00799960158
Comune di Montenero Val Cocchiara,80001970948,PagoPA SpA,15376371009
Comune di Montenero Val Cocchiara,80001970948,P.A. Digitale spa,06628860964
Comune di Montenerodomo,00253540694,PagoPA SpA,15376371009
Comune di Montenerodomo,00253540694,E-Fil S.r.l.,03789750100
Comune di Montenerodomo,00253540694,Advanced Systems S.p.A.,03383350638
Comune di Monteodorisio,83002050694,PagoPA SpA,15376371009
Comune di Monteodorisio,83002050694,Agenzia regionale dell'Abruzzo per la Committenza,91022630676
Comune di Monteodorisio,83002050694,MEG TRIBUTI S.p.A.,16215731007
Comune di Montepaone,00297260796,UNIMATICA-RGI S.p.A.,02098391200
Comune di Montepaone,00297260796,PagoPA SpA,15376371009
Comune di Montepaone,00297260796,Maggioli SPA,06188330150
Comune di Montepaone,00297260796,CREDEMTEL SpA,01378570350
Comune di Montepaone,00297260796,ASSIST SPA,10596000017
Comune di Montepaone,00297260796,E-Fil S.r.l.,03789750100
Comune di Montepaone,00297260796,Next Step Solution,02554480349
Comune di Monteparano,80011610732,PagoPA SpA,15376371009
Comune di Monteparano,80011610732,Regione Puglia,80017210727
Comune di Monteprandone,00376950440,PagoPA SpA,15376371009
Comune di Monteprandone,00376950440,E-Fil S.r.l.,03789750100
Comune di Monteprandone,00376950440,Regione Marche,80008630420
Comune di Monteprandone,00376950440,ANDREANI TRIBUTI srl,01412920439
Comune di Montepulciano,00223000522,PagoPA SpA,15376371009
Comune di Montepulciano,00223000522,Dedagroup Public Services S.R.L.,01727860221
Comune di Montepulciano,00223000522,Maggioli SPA,06188330150
Comune di Montepulciano,00223000522,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Monterchi,00197650518,Regione Toscana,01386030488
Comune di Monterchi,00197650518,PagoPA SpA,15376371009
Comune di Montereale,00096510664,PagoPA SpA,15376371009
Comune di Montereale,00096510664,CREDEMTEL SpA,01378570350
Comune di Montereale Valcellina,81000690933,PagoPA SpA,15376371009
Comune di Montereale Valcellina,81000690933,E-Fil S.r.l.,03789750100
Comune di Montereale Valcellina,81000690933,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Monterenzio,80013710373,PagoPA SpA,15376371009
Comune di Monterenzio,80013710373,E-Fil S.r.l.,03789750100
Comune di Monteriggioni,00224550525,Regione Toscana,01386030488
Comune di Monteriggioni,00224550525,PagoPA SpA,15376371009
Comune di Monteriggioni,00224550525,Argentea S.r.l.,02260390220
Comune di Monteriggioni,00224550525,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Monteroduni,80001790940,PagoPA SpA,15376371009
Comune di Monteroduni,80001790940,P.A. Digitale spa,06628860964
Comune di Monteroni D'Arbia,00229690524,PagoPA SpA,15376371009
Comune di Monteroni D'Arbia,00229690524,Dedagroup Public Services S.R.L.,01727860221
Comune di Monteroni D'Arbia,00229690524,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Monteroni di Lecce,93003530750,PagoPA SpA,15376371009
Comune di Monteroni di Lecce,93003530750,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Monteroni di Lecce,93003530750,Progetti e Soluzioni SPA,06423240727
Comune di Monteroni di Lecce,93003530750,ITALSET SRL,03890260759
Comune di Monteroni di Lecce,93003530750,Dedagroup Public Services S.R.L.,01727860221
Comune di Monterosi,80005310562,PagoPA SpA,15376371009
Comune di Monterosi,80005310562,CREDEMTEL SpA,01378570350
Comune di Monterosi,80005310562,Advanced Systems S.p.A.,03383350638
Comune di Monterosso al Mare,00192420115,PagoPA SpA,15376371009
Comune di Monterosso al Mare,00192420115,Exetesis srl,01156370114
Comune di Monterosso al Mare,00192420115,P.A. Digitale spa,06628860964
Comune di Monterosso al Mare,00192420115,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Monterosso al Mare,00192420115,I.C.A. Imposte Comunali Affini Srl,02478610583
