BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
ISTITUTO COMPRENSIVO - IC MONGRASSANO,99003230788,"Via SKANDERBEG, 38",87040,csic83800l@pec.istruzione.it,99003230788,istsc_csic83800l
ISTITUTO COMPRENSIVO - IC MONS. A. PIROVANO,91016310137,Via Crispi 22,22046,coic840002@pec.istruzione.it,91016310137,istsc_coic840002
ISTITUTO COMPRENSIVO - IC MONTEBELLO VICENTINO,80016310247,"Via G. Gentile, 7",36054,viic856003@pec.istruzione.it,80016310247,istsc_viic856003
ISTITUTO COMPRENSIVO - IC MONTEBELLUNA 1,92035630265,Via Papa Giovanni XXIII N. 5,31044,tvic883004@pec.istruzione.it,92035630265,istsc_tvic883004
ISTITUTO COMPRENSIVO - IC MONTEBELLUNA 2,92035640264,"Via Crociera, 1",31044,tvic87900c@pec.istruzione.it,92035640264,istsc_tvic87900c
ISTITUTO COMPRENSIVO - IC MONTECCHIA DI CR. E RONCA',92011570238,"Via San Pietro, N. 75",37030,vric831003@pec.istruzione.it,92011570238,istsc_vric831003
ISTITUTO COMPRENSIVO - IC MONTECCHIO M.2 ALTE CECCATO,81001130244,Via Archimede 38,36075,viic877004@pec.istruzione.it,81001130244,istsc_viic877004
ISTITUTO COMPRENSIVO - IC MONTECELIO,94032540588,"Via Cianti, 4",00012,rmic8g400d@pec.istruzione.it,94032540588,istsc_rmic8g400d
ISTITUTO COMPRENSIVO - IC MONTEFELCINO,81005290416,"Piazza Don Luigi Sturzo,1",61030,psic810002@pec.istruzione.it,81005290416,istsc_psic810002
ISTITUTO COMPRENSIVO - IC MONTEFORTE D'ALPONE,92011580237,Via Novella 4,37032,vric844005@pec.istruzione.it,92011580237,istsc_vric844005
ISTITUTO COMPRENSIVO - IC MONTEGROSSO,91007170052,"Via Re Umberto, 29",14048,atic808006@pec.istruzione.it,91007170052,istsc_atic808006
ISTITUTO COMPRENSIVO - IC MONTEPAONE LIDO,97035420799,Via A. Pelaggi N. 1,88060,czic84600b@pec.istruzione.it,97035420799,istsc_czic84600b
