BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
Comune di San Giovanni In Fiore,00348180787,Piazza Matteotti,87055,affarigeneralisgfiore@asmepec.it,00348180787,c_h919
Comune di San Giovanni in Galdo,80003030709,"Via GUGLIELMO MARCONI, 29",86010,comunesangiovanniingaldo@pec.leonet.it,80003030709,c_h920
Comune di San Giovanni in Marignano,82005910409,"Via Roma, 62",47842,comune.sangiovanniinmarignano@legalmail.it,82005910409,c_h921
Comune di San Giovanni In Persiceto,00874410376,"Corso Italia, 70",40017,comune.persiceto@cert.provincia.bo.it,00874410376,c_g467
Comune di San Giovanni Incarico,00282020601,"Piazza Umberto I, 15",03028,segreteriacomunesgi@pec.it,00282020601,c_h917
Comune di San Giovanni La Punta,00453970873,Piazza Europa,95037,sangiovannilapunta@pec.it,00453970873,c_h922
Comune di San Giovanni Lipioni,00249220690,"Via Roma, 35",66050,comune.sangiovannilipioni.ragioneria@legalmail.it,00249220690,c_h923
Comune di San Giovanni Lupatoto,00360350235,"Via Roma, 18",37057,protocol.comune.sangiovannilupatoto.vr@pecveneto.it,00360350235,c_h924
Comune di San Giovanni Rotondo,83001510714,Piazza dei Martiri 5,71013,protocollo.sangiovannirotondo@pec.it,83001510714,c_h926
Comune di San Giovanni Suergiu,81002010924,Piazza quattro novembre,09010,ufficio.protocollo@pec.comune.sangiovannisuergiu.ci.it,81002010924,c_g287
Comune di San Giovanni Teatino,80001770694,"Piazza Municipio, 18",66020,comunesgt@pec.it,80001770694,c_d690
Comune di San Giovanni Valdarno,00160360517,"Via Garibaldi, 43",52027,protocollo@pec.comunesgv.it,00160360517,c_h901
Comune di San Giuliano del Sannio,80001610700,Piazza Della Liberta' n.21,86010,ufficioprotocollo@pec.comune.sangiulianodelsannio.cb.it,80001610700,c_h928
Comune di San Giuliano di Puglia,00070680707,"Largo Palazzo Marchesale, 10",86040,sangiulianodipuglia@pec.leonet.it,00070680707,c_h929
Comune di San Giuliano Milanese,00798940151,"Via De Nicola,2",20098,comune.sangiulianomilanese@cert.legalmail.it,00798940151,c_h930
Comune di San Giuliano Terme,00332700509,"Via Giovanni Battista Niccolini, 25",56017,comune.sangiulianoterme@postacert.toscana.it,00332700509,c_a562
Comune di San Giuseppe Jato,80025760820,Via Vittorio Emanuele N. 143,90048,comunesangiuseppejato@pec.it,80025760820,c_h933
Comune di San Giuseppe Vesuviano,84002990632,"Piazza Elena D'Aosta,1",80047,protocollocomunesangiuseppevesuviano@postecert.it,84002990632,c_h931
Comune di San Giustino,00448140541,"Piazza Del Municipio, 17",06016,comune.sangiustino@postacert.umbria.it,00448140541,c_h935
Comune di San Giusto Canavese,83501840017,"Piazza Municipio, 1",10090,comune.sangiusto@pec.it,83501840017,c_h936
Comune di San Godenzo,01428380487,"Piazza Municipio, 1",50060,comune.sangodenzo@postacert.toscana.it,01428380487,c_h937
Comune di San Gregorio D'Ippona,00352950794,Via Aldo Moro N.7,89853,prot.sangregoriodippona@asmepec.it,00352950794,c_h941
Comune di San Gregorio da Sassola,02493010587,"Largo Luigi Sturzo, 6",00010,comune.sangregorio@pec.it,02493010587,c_i284
Comune di San Gregorio di Catania,93006870872,Piazza Guglielmo Marconi 11,95027,comune.sangregorio.ct@anutelpec.it,93006870872,c_h940
Comune di San Gregorio Magno,82001770658,"Piazza Municipio, 1",84020,protocollo.sangregoriomagno@asmepec.it,82001770658,c_h943
Comune di San Gregorio Matese,82001170610,Villa Ginevra,81010,comunesangregorio@pec.it,82001170610,c_h939
Comune di San Gregorio nelle Alpi,00203700257,"Piazza Del Municipio,1",32030,sangregorio.bl@cert.ip-veneto.net,00203700257,c_h938
Comune di San Lazzaro di Savena,00754860377,"Piazza Bracci, 1",40068,comune.sanlazzaro@cert.provincia.bo.it,00754860377,c_h945
Comune di San Leo,00315680413,Piazza Dante Alighieri N.1,47865,comune.san-leo@pec.it,00315680413,c_h949
Comune di San Leonardo,80008800304,"Via Merso Di Sopra, 1",33040,comune.Sanleonardo@certgov.fvg.it,80008800304,c_h951
Comune di San Leonardo in Passiria,82003310214,"Via Carbonai, 72",39015,stleonhard.sleonardo@legalmail.it,82003310214,c_h952
