BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
2 Circolo Didattico ''San Giovanni Bosco'',80012320729,"Corso A.Jatta, 34/D",70037,baee15800a@pec.istruzione.it,80012320729,istsc_baee15800a
2V ENERGY S.R.L.,03795470248,LUNGADIGE GALTAROSSA 8,37133,2venergy@legalmail.it,03795470248,2venergysrl_20201113
3 Istituto Comprensivo Nocera Inferiore,94076720658,"Via San Pietro, 10",84014,saic8bu00x@pec.istruzione.it,94076720658,isticom
5T srl,06360270018,"Via Bertola, 34",10122,direzione5t@legalmail.it,06360270018,5t_20181024
A Tutta Rete S.R.L.,01813730387,"Via Malamini, 1",44042,atuttarete@pec.cmvservizi.it,01813730387,atrsr
A.AM.P.S. Azienda Ambientale di Pubblico Servizio S.p.A.,01168310496,"Via dell’Artigianato, 39/B",57121,aamps@postecert.it,01168310496,AAMPS_20210126
A.Di.S.U. Azienda per Il Diritto allo Studio Universitario Universita' Degli Studi Suor Orsola Benincasa,05300141214,"Via Suor Orsola, 10",80135,adisusob@pec.it,05300141214,adsua
A.Di.S.U. L'Orientale,80044460634,"Via Nuova Marina, 5",80133,adisulorientale@legalmail.it,80044460634,adsulo
A.Di.S.U. Parthenope,80018680639,"Via Galileo Ferraris, 273",80142,adisuparthenope@pec.it,80018680639,adsup
A.Di.S.U.R.C. Azienda per Il Diritto allo Studio Universitario della Regione Campania,08699411214,"Via Alcide De Gasperi, 45",80133,adisurc@pec.it,08699411214,adsurca
A.EG.Riscossioni S.p.A.,02516300460,Via Umberto Dianda n.210 fraz. San Pietro a Vico,55100,aegriscossioni@onpec.it,02516300460,AeGRspa_20230303
A.F.Formiggini Lliceo Scientifico e Classico,93038940362,Via Bologna,41049,MOPS080003@PEC.ISTRUZIONE.IT,93038940362,affs
A.GE.S. S.R.L.,02286490962,via Oslavia 21,20037,ages@registerpec.it,02286490962,ages_20191120
A.I.C.A. - AZIENDA IDRICA COMUNI AGRIGENTINI,03021250844,Piazza TRINACRIA 1,92021,PEC.AICA@PEC.IT,03021250844,UFUOTOVI
A.M.A.N  Scpa,00115370553,"S.s. Amerina Km 7,700",05022,aman.scpa@legalmail.it,00115370553,amansmul
A.M.C. S.p.A.,91015980062,"via Orti, 2",15033,segreteria@amc.postecert.it,91015980062,amc_20200521
A.M.E.S. Azienda Multiservizi Economici Sociali,02979860273,Isola Nova del Tronchetto 14,30135,ames.pec@assofarm.postecert.it,02979860273,ames_20191118
A.o.u. - 'San Giovanni di Dio e Ruggi D'Aragona',95044230654,"Via San Leonardo, snc",84131,info@pec.sangiovannieruggi.it,95044230654,ao_sgdra
A.O.U. Policlinico 'G. Martino' di Messina,03051890832,Via Consolare Valeria 1,98124,protocollo@pec.polime.it,03051890832,aoupgmme
