ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
Comune di Cropani,00304310790,Regione Calabria,2205340793
Comune di Cropani,00304310790,Maggioli SPA,6188330150
Comune di Crosia,87000330784,UNIMATICA-RGI S.p.A.,2098391200
Comune di Crosia,87000330784,PagoPA SpA,15376371009
Comune di Crosia,87000330784,Noviservice srl,2789990922
Comune di Crosia,87000330784,Advanced Systems S.p.A.,3383350638
Comune di Crosia,87000330784,SO.G.E.T. S.P.A.,1807790686
Comune di Crosio della Valle,00637630120,PagoPA SpA,15376371009
Comune di Crosio della Valle,00637630120,Regione Lombardia,80050050154
Comune di Crotone,81000250795,PagoPA SpA,15376371009
Comune di Crotone,81000250795,Poste Italiane S.P.A.,97103880585
Comune di Crotone,81000250795,Dedagroup Public Services S.R.L.,1727860221
Comune di Crotta d'Adda,80003550193,PagoPA SpA,15376371009
Comune di Crotta d'Adda,80003550193,Regione Lombardia,80050050154
Comune di Crova,84500390020,Siscom SPA,1778000040
Comune di Crova,84500390020,PagoPA SpA,15376371009
Comune di Croviana,00423390228,Provincia Autonoma di Trento,337460224
Comune di Croviana,00423390228,PagoPA SpA,15376371009
Comune di Croviana,00423390228,Maggioli SPA,6188330150
Comune di Crucoli,00297210791,PagoPA SpA,15376371009
Comune di Crucoli,00297210791,P.A. Digitale spa,6628860964
Comune di Cuasso al Monte,00341300127,PagoPA SpA,15376371009
Comune di Cuasso al Monte,00341300127,P.A. Digitale spa,6628860964
Comune di Cuasso al Monte,00341300127,Maggioli SPA,6188330150
Comune di Cuasso al Monte,00341300127,ASSIST SPA,10596000017
Comune di Cuccaro Vetere,84000190656,PagoPA SpA,15376371009
Comune di Cuccaro Vetere,84000190656,ICCREA Banca SpA,4774801007
Comune di Cucciago,81001230135,San Marco SPA,4142440728
Comune di Cucciago,81001230135,PagoPA SpA,15376371009
Comune di Cucciago,81001230135,Regione Lombardia,80050050154
Comune di Cucciago,81001230135,Progetti e Soluzioni SPA,6423240727
Comune di Cuceglio,02143010011,Siscom SPA,1778000040
Comune di Cuceglio,02143010011,PagoPA SpA,15376371009
Comune di Cuggiono,00861770154,PagoPA SpA,15376371009
Comune di Cuggiono,00861770154,Regione Lombardia,80050050154
Comune di Cuggiono,00861770154,Dedagroup Public Services S.R.L.,1727860221
Comune di Cuggiono,00861770154,Maggioli SPA,6188330150
Comune di Cugliate Fabiasco,84003010125,PagoPA SpA,15376371009
Comune di Cugliate Fabiasco,84003010125,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Comune di Cuglieri,00073930950,PagoPA SpA,15376371009
Comune di Cuglieri,00073930950,Regione Autonoma della Sardegna,80002870923
Comune di Cugnoli,80003250687,PagoPA SpA,15376371009
Comune di Cugnoli,80003250687,Maggioli SPA,6188330150
Comune di Cumiana,85003070019,Regione Piemonte,80087670016
Comune di Cumiana,85003070019,PagoPA SpA,15376371009
Comune di Cumiana,85003070019,Maggioli SPA,6188330150
Comune di Cumignano sul Naviglio,00310050190,Consorzio I.T. Srl,1321400192
Comune di Cumignano sul Naviglio,00310050190,PagoPA SpA,15376371009
Comune di Cumignano sul Naviglio,00310050190,CREDEMTEL SpA,1378570350
Comune di Cunardo,00489260125,PagoPA SpA,15376371009
Comune di Cunardo,00489260125,Regione Lombardia,80050050154
Comune di Cunardo,00489260125,Optimia Srls,10893490960
Comune di Cunardo,00489260125,ASSIST SPA,10596000017
Comune di Cunardo,00489260125,San Marco SPA,4142440728
Comune di Cuneo,00480530047,Regione Piemonte,80087670016
Comune di Cuneo,00480530047,PagoPA SpA,15376371009
Comune di Cuneo,00480530047,Dedagroup Public Services S.R.L.,1727860221
Comune di Cuneo,00480530047,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Cunico,01219410055,Siscom SPA,1778000040
