ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
2 Circolo Didattico ''San Giovanni Bosco'',80012320729,Ministero dell'istruzione e del merito,80185250588
2V ENERGY S.R.L.,03795470248,Nexi SpA,13212880150
3 Istituto Comprensivo Nocera Inferiore,94076720658,ARGO SOFTWARE SRL,838520880
3 Istituto Comprensivo Nocera Inferiore,94076720658,Ministero dell'istruzione e del merito,80185250588
5T srl,06360270018,Regione Piemonte,80087670016
A.AM.P.S. Azienda Ambientale di Pubblico Servizio S.p.A.,01168310496,Poste Italiane S.P.A.,97103880585
A.AM.P.S. Azienda Ambientale di Pubblico Servizio S.p.A.,01168310496,Advanced Systems S.p.A.,3383350638
A.Di.S.U.R.C. Azienda per Il Diritto allo Studio Universitario della Regione Campania,08699411214,Regione Campania,80011990639
A.EG.Riscossioni S.p.A.,02516300460,Sintax s.r.l.,2177970783
A.F.Formiggini Lliceo Scientifico e Classico,93038940362,Ministero dell'istruzione e del merito,80185250588
A.GE.S. S.R.L.,02286490962,Progetti e Soluzioni SPA,6423240727
A.I.C.A. - AZIENDA IDRICA COMUNI AGRIGENTINI,03021250844,Engineering Ingegneria Informatica SpA,967720285
A.M.C. S.p.A.,91015980062,Intesa Sanpaolo SPA,799960158
A.M.E.S. Azienda Multiservizi Economici Sociali,02979860273,Intesa Sanpaolo SPA,799960158
A.o.u. - 'San Giovanni di Dio e Ruggi D'Aragona',95044230654,P.A. Digitale spa,6628860964
A.o.u. - 'San Giovanni di Dio e Ruggi D'Aragona',95044230654,Regione Campania,80011990639
A.O.U. Policlinico 'G. Martino' di Messina,03051890832,NORDCOM,13384100155
A.O.U. Policlinico 'G. Martino' di Messina,03051890832,Argentea S.r.l.,2260390220
A.O.U. San Luigi Gonzaga,95501020010,Regione Piemonte,80087670016
A.P.S.P. Anaunia,01839930227,Provincia Autonoma di Trento,337460224
A.P.S.P. Beato De Tschiderer Gia' Istituto Arcivescovile per Sordi,80002870220,Provincia Autonoma di Trento,337460224
A.P.S.P. Casa di Riposo S.Vigilio - Fondazione Bonazza,86001550226,Provincia Autonoma di Trento,337460224
A.P.S.P. Casa Laner,85004510229,Provincia Autonoma di Trento,337460224
A.P.S.P. Centro Don Ziglio,00272610221,Provincia Autonoma di Trento,337460224
A.P.S.P. Centro Residenziale 'Abelardo Collini' di Pinzolo,95003080223,Provincia Autonoma di Trento,337460224
A.P.S.P. Cesare Benedetti,00323360222,Provincia Autonoma di Trento,337460224
A.P.S.P. Giacomo Cis Azienda Pubblica di Servizi alla Persona,84000620223,Provincia Autonoma di Trento,337460224
A.P.S.P. Levico Curae - Centro Unico Riabilitativo Assistenziale Educativo,02511950228,Provincia Autonoma di Trento,337460224
A.P.S.P. Opera Romani,85000230228,Provincia Autonoma di Trento,337460224
A.P.S.P. Padre Odone Nicolini,86001530228,Provincia Autonoma di Trento,337460224
A.P.S.P. Piccolo Spedale,81002110229,Provincia Autonoma di Trento,337460224
A.P.S.P. Residenza Molino,84002450223,Provincia Autonoma di Trento,337460224
A.P.S.P. Suor Agnese,01025950229,Provincia Autonoma di Trento,337460224
A.P.S.P. SUOR FILIPPINA Casa di Soggiorno,01584010225,Provincia Autonoma di Trento,337460224
A.P.S.P.S. Spirito Fondazione Montel,00358720225,Provincia Autonoma di Trento,337460224
A.R.N.A.S. CIVICO - DI CRISTINA E BENEFRATELLI,05841770828,"Unicredit, Societa' per Azioni",348170101
A.Ris.Me,03531510836,Poste Italiane S.P.A.,97103880585
A.Ris.Me,03531510836,Archidata srl,9613270157
A.S.A. Azienda Servizi Ambientali S.P.A.,01177760491,Intesa Sanpaolo SPA,799960158
A.S.A. TIVOLI S.P.A.,05802941004,UNIMATICA-RGI S.p.A.,2098391200
A.S.D. 2D LINGOTTO VOLLEY,07158500012,Regione Piemonte,80087670016
A.S.D. TMA Group Italia,95177560638,Intesa Sanpaolo SPA,799960158
A.S.Far.M.,02020550121,Provincia Autonoma di Trento,337460224
A.S.M. CASTELLEONE S.R.L.,01121810194,P.A. Digitale spa,6628860964
A.S.P.  N. 1 della Provincia di Chieti,02627430693,Noviservice srl,2789990922
A.S.P. Casa Degli Operai Vecchi Ed Inabili al Lavoro di Paluzza,84005090307,Regione Autonoma Friuli-Venezia Giulia,80014930327
A.S.P. Pergola,81002430411,Regione Marche,80008630420
A.S.P. S.R.L. Anguillara Servizi e Patrimonio,04252610284,Regione del Veneto,80007580279
"A.S.S.A.P. Oo. Pp. Riunite Eugenio Criscione Lupis, Carmelo Boscarino e Carmelo Moltisanti",80000830887,eRemind srl – PMPAY,11311050964
A.S.TER. SPA,03825030103,Comune di Genova,856930102
A.S.V.O. Ambiente Servizi Venezia Orientale S.P.A.,83002690275,Regione del Veneto,80007580279
A.Se.F. S.r.l. del Comune di Genova,01248040998,Intesa Sanpaolo SPA,799960158
A.SE.P. SRL,01723300206,"Unicredit, Societa' per Azioni",348170101
A.SE.P. SRL,01723300206,Maggioli SPA,6188330150
A.Se.R - Azienda Servizi del Rhodense S.P.A.,04626760963,Progetti e Soluzioni SPA,6423240727
A.T.E.R. del Comprensorio di Civitavecchia,00483510582,Poste Italiane S.P.A.,97103880585
A.T.E.R. del Comprensorio di Civitavecchia,00483510582,Exetesis srl,1156370114
A.T.E.R. del Comprensorio di Civitavecchia,00483510582,Progetti e Soluzioni SPA,6423240727
A.T.E.R. UMBRIA,01457790556,"Unicredit, Societa' per Azioni",348170101
A.T.S. - Amatori Tamburello Sport a.s.d.,07367270019,Regione Piemonte,80087670016
A2A Ciclo Idrico,03258180987,"Unicredit, Societa' per Azioni",348170101
A2A Energia SpA,12883420155,"Unicredit, Societa' per Azioni",348170101
Abaco Spa,02391510266,Novares Spa,12105121003
Abaco Spa,02391510266,Progetti e Soluzioni SPA,6423240727
