ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
Comune di Posina,83000430245,Regione del Veneto,80007580279
Comune di Positano,80025630650,PagoPA SpA,15376371009
Comune di Positano,80025630650,E-Fil S.r.l.,3789750100
Comune di Possagno,83002990261,PagoPA SpA,15376371009
Comune di Possagno,83002990261,Abaco Spa,2391510266
Comune di Possagno,83002990261,CREDEMTEL SpA,1378570350
Comune di Possagno,83002990261,Regione del Veneto,80007580279
Comune di Posta,00123930570,PagoPA SpA,15376371009
Comune di Posta,00123930570,Maggioli SPA,6188330150
Comune di Posta,00123930570,Poste Italiane S.P.A.,97103880585
Comune di Posta,00123930570,CREDEMTEL SpA,1378570350
Comune di Posta,00123930570,Progetti e Soluzioni SPA,6423240727
Comune di Posta Fibreno,82000610608,PagoPA SpA,15376371009
Comune di Posta Fibreno,82000610608,eRemind srl – PMPAY,11311050964
Comune di Posta Fibreno,82000610608,CREDEMTEL SpA,1378570350
Comune di Postal,82003230214,PagoPA SpA,15376371009
Comune di Postal,82003230214,Alto Adige Riscossioni Spa,2805390214
Comune di Postalesio,00094910148,San Marco SPA,4142440728
Comune di Postalesio,00094910148,PagoPA SpA,15376371009
Comune di Postalesio,00094910148,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Comune di Postalesio,00094910148,APKAPPA S.R.L.,8543640158
Comune di Postiglione,82002410650,PagoPA SpA,15376371009
Comune di Postiglione,82002410650,Sintax s.r.l.,2177970783
Comune di Postiglione,82002410650,APKAPPA S.R.L.,8543640158
Comune di Postiglione,82002410650,CRESET Crediti Servizi e Tecnologie Spa,868170143
Comune di Postua,82001530029,Regione Piemonte,80087670016
Comune di Postua,82001530029,PagoPA SpA,15376371009
Comune di Postua,82001530029,CREDEMTEL SpA,1378570350
Comune di Potenza,00127040764,PagoPA SpA,15376371009
Comune di Potenza,00127040764,P.A. Digitale spa,6628860964
Comune di Potenza,00127040764,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1484460587
Comune di Potenza,00127040764,Archidata srl,9613270157
Comune di Potenza,00127040764,Regione Basilicata,80002950766
Comune di Potenza,00127040764,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Potenza,00127040764,Next Step Solution,2554480349
Comune di Potenza Picena,00125720433,PagoPA SpA,15376371009
Comune di Potenza Picena,00125720433,Regione Marche,80008630420
Comune di Potenza Picena,00125720433,Next Step Solution,2554480349
Comune di Pove del Grappa,91013460240,PagoPA SpA,15376371009
Comune di Pove del Grappa,91013460240,Regione del Veneto,80007580279
Comune di Povegliano,80008450266,PagoPA SpA,15376371009
Comune di Povegliano,80008450266,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1484460587
Comune di Povegliano,80008450266,S.T.E.P. SRL,2104860909
Comune di Povegliano,80008450266,E-Fil S.r.l.,3789750100
Comune di Povegliano,80008450266,Regione del Veneto,80007580279
Comune di Povegliano Veronese,00658760236,PagoPA SpA,15376371009
Comune di Povegliano Veronese,00658760236,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1484460587
Comune di Povegliano Veronese,00658760236,CREDEMTEL SpA,1378570350
Comune di Povegliano Veronese,00658760236,Regione del Veneto,80007580279
Comune di Povegliano Veronese,00658760236,Abaco Spa,2391510266
Comune di Poviglio,00440380350,PagoPA SpA,15376371009
Comune di Poviglio,00440380350,Lepida Spa,2770891204
Comune di Poviglio,00440380350,E-Fil S.r.l.,3789750100
Comune di Poviglio,00440380350,I.C.A. Imposte Comunali Affini Srl,2478610583
Comune di Poviglio,00440380350,Next Step Solution,2554480349
Comune di Povoletto,80002890301,PagoPA SpA,15376371009
Comune di Povoletto,80002890301,Maggioli SPA,6188330150
Comune di Povoletto,80002890301,CREDEMTEL SpA,1378570350
Comune di Povoletto,80002890301,Optimia Srls,10893490960
Comune di Povoletto,80002890301,E-Fil S.r.l.,3789750100
Comune di Povoletto,80002890301,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Pozza di Fassa,82000950228,Provincia Autonoma di Trento,337460224
Comune di Pozzaglia Sabina,00113100572,PagoPA SpA,15376371009
Comune di Pozzaglia Sabina,00113100572,P.A. Digitale spa,6628860964
Comune di Pozzaglia Sabina,00113100572,E-Fil S.r.l.,3789750100
Comune di Pozzaglio ed Uniti,00330950197,PagoPA SpA,15376371009
Comune di Pozzaglio ed Uniti,00330950197,Maggioli SPA,6188330150
Comune di Pozzallo,00170330880,UNIMATICA-RGI S.p.A.,2098391200
Comune di Pozzallo,00170330880,PagoPA SpA,15376371009
Comune di Pozzallo,00170330880,eRemind srl – PMPAY,11311050964
Comune di Pozzallo,00170330880,Advanced Systems S.p.A.,3383350638
Comune di Pozzilli,00067770941,PagoPA SpA,15376371009
Comune di Pozzilli,00067770941,P.A. Digitale spa,6628860964
Comune di Pozzo D'Adda,83503590156,PagoPA SpA,15376371009
Comune di Pozzo D'Adda,83503590156,Regione Lombardia,80050050154
Comune di Pozzo D'Adda,83503590156,Sintax s.r.l.,2177970783
Comune di Pozzo D'Adda,83503590156,Progetti e Soluzioni SPA,6423240727
Comune di Pozzo D'Adda,83503590156,CRESET Crediti Servizi e Tecnologie Spa,868170143
Comune di Pozzol Groppo,00502410061,Siscom SPA,1778000040
